score,rule,param,FPR,TPR_avg,median_tau,alpha_spread,controls_FPR
surp2,fixed_z,3.341,0.04211111111111111,0.6460833333333333,4.0,0.04111111111111111,True
surp2,warmup t>=10,2.868,0.051333333333333335,0.6651666666666667,10.0,0.025555555555555554,True
surp2,LIL,4.912,0.04555555555555556,0.5161111111111111,2.0,0.046666666666666676,True
surp2,Robbins,0.409,0.05255555555555556,0.6687222222222222,10.0,0.057777777777777775,True
sus_1,fixed_z,3.275,0.048666666666666664,0.9593333333333334,4.0,0.10555555555555556,True
sus_1,warmup t>=10,2.79,0.052222222222222225,0.9794166666666666,10.0,0.057777777777777775,True
sus_1,LIL,5.916,0.04577777777777778,0.6469722222222223,1.0,0.14777777777777779,True
sus_1,Robbins,0.421,0.051333333333333335,0.9296944444444444,11.0,0.05555555555555555,True
