score,c,FPR,TPR_pers+,TPR_pers-,TPR_avg,TPR_avg - FPR
surp2,2.0,0.2335,0.7431111111111111,0.7398333333333333,0.7414722222222222,0.5079722222222222
surp2,2.5,0.12133333333333333,0.6992222222222222,0.7004444444444444,0.6998333333333333,0.5785
surp2,3.0,0.06944444444444445,0.6666111111111112,0.6689444444444445,0.6677777777777778,0.5983333333333334
surp2,3.5,0.034277777777777775,0.6350555555555556,0.6358333333333334,0.6354444444444445,0.6011666666666667
sus1,2.0,0.25072222222222224,0.9972777777777778,0.9961666666666666,0.9967222222222223,0.746
sus1,2.5,0.12944444444444445,0.9912777777777778,0.9898333333333333,0.9905555555555556,0.8611111111111112
sus1,3.0,0.06522222222222222,0.9800555555555556,0.9781666666666666,0.979111111111111,0.9138888888888889
sus1,3.5,0.034833333333333334,0.9624444444444444,0.9599444444444445,0.9611944444444445,0.9263611111111111
