theta_star,psi,alpha,c,rate,median_tau,n
0.9,pers+,5.0,2.0,1.0,3.0,200
0.9,pers+,5.0,3.5,1.0,8.0,200
0.9,pers+,10.0,2.0,1.0,3.0,200
0.9,pers+,10.0,3.5,1.0,3.0,200
0.9,pers-,1.5,2.0,0.995,8.0,200
0.9,pers-,1.5,3.5,0.94,70.5,200
0.9,pers-,3.0,2.0,1.0,2.0,200
0.9,pers-,3.0,3.5,0.995,9.0,200
0.9,pers-,5.0,2.0,1.0,1.0,200
0.9,pers-,5.0,3.5,1.0,2.0,200
0.9,pers-,10.0,2.0,1.0,1.0,200
0.9,pers-,10.0,3.5,1.0,1.0,200
