score_type,surp2,sus_1,sus_3,sus_4,sus_4b
surp2,1.0,0.7208008012639792,0.5180445812445418,0.5299833000672641,0.5550990773543956
sus_1,0.7208008012639792,1.0,0.8862420049251873,0.8875556350104484,0.9047874903180952
sus_3,0.5180445812445418,0.8862420049251873,1.0,0.9886834070858638,0.984985254088482
sus_4,0.5299833000672641,0.8875556350104484,0.9886834070858638,1.0,0.9977836675550825
sus_4b,0.5550990773543956,0.9047874903180952,0.984985254088482,0.9977836675550825,1.0
