listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
cred,high,1.5,2.0,hard,0.041529221055905036,0.02099943785071374,0.010902668593138515
cred,high,1.5,2.0,hard_amnesic,0.041529221055905036,0.02099943785071374,0.010902668593138515
cred,high,1.5,2.0,soft,0.041529221055905036,0.02099943785071374,0.010902668593138515
cred,high,1.5,3.5,hard,0.041529221055905036,0.02099943785071374,0.010902668593138515
cred,high,1.5,3.5,hard_amnesic,0.041529221055905036,0.02099943785071374,0.010902668593138515
cred,high,1.5,3.5,soft,0.041529221055905036,0.02099943785071374,0.010902668593138515
cred,high,3.0,2.0,hard,0.06492650951574247,0.04781441005170346,0.009516252500282919
cred,high,3.0,2.0,hard_amnesic,0.06492650951574247,0.04781441005170346,0.009516252500282919
cred,high,3.0,2.0,soft,0.06492650951574247,0.04781441005170346,0.009516252500282919
cred,high,3.0,3.5,hard,0.06492650951574247,0.04781441005170346,0.009516252500282919
cred,high,3.0,3.5,hard_amnesic,0.06492650951574247,0.04781441005170346,0.009516252500282919
cred,high,3.0,3.5,soft,0.06492650951574247,0.04781441005170346,0.009516252500282919
cred,high,5.0,2.0,hard,0.08074207406320176,0.05777056442499162,0.00694325065872681
cred,high,5.0,2.0,hard_amnesic,0.08074207406320176,0.05777056442499162,0.00694325065872681
cred,high,5.0,2.0,soft,0.08074207406320176,0.05777056442499162,0.00694325065872681
cred,high,5.0,3.5,hard,0.08074207406320176,0.05777056442499162,0.00694325065872681
cred,high,5.0,3.5,hard_amnesic,0.08074207406320176,0.05777056442499162,0.00694325065872681
cred,high,5.0,3.5,soft,0.08074207406320176,0.05777056442499162,0.00694325065872681
cred,high,10.0,2.0,hard,0.1113599875034094,0.07578425001502039,0.009102219398349463
cred,high,10.0,2.0,hard_amnesic,0.1113599875034094,0.07578425001502039,0.009102219398349463
cred,high,10.0,2.0,soft,0.1113599875034094,0.07578425001502039,0.009102219398349463
cred,high,10.0,3.5,hard,0.1113599875034094,0.07578425001502039,0.009102219398349463
cred,high,10.0,3.5,hard_amnesic,0.1113599875034094,0.07578425001502039,0.009102219398349463
cred,high,10.0,3.5,soft,0.1113599875034094,0.07578425001502039,0.009102219398349463
cred,inf,1.5,2.0,hard,0.015944469133734707,0.0013951773136854182,0.0031785443332982485
cred,inf,1.5,2.0,hard_amnesic,0.015944469133734707,0.0013951773136854182,0.0031785443332982485
cred,inf,1.5,2.0,soft,0.015944469133734707,0.0013951773136854182,0.0031785443332982485
cred,inf,1.5,3.5,hard,0.015944469133734707,0.0013951773136854182,0.0031785443332982485
cred,inf,1.5,3.5,hard_amnesic,0.015944469133734707,0.0013951773136854182,0.0031785443332982485
cred,inf,1.5,3.5,soft,0.015944469133734707,0.0013951773136854182,0.0031785443332982485
cred,inf,3.0,2.0,hard,0.012464585675398512,0.00026977624893188536,0.001008299795429987
cred,inf,3.0,2.0,hard_amnesic,0.012464585675398512,0.00026977624893188536,0.001008299795429987
cred,inf,3.0,2.0,soft,0.012464585675398512,0.00026977624893188536,0.001008299795429987
cred,inf,3.0,3.5,hard,0.012464585675398512,0.00026977624893188536,0.001008299795429987
cred,inf,3.0,3.5,hard_amnesic,0.012464585675398512,0.00026977624893188536,0.001008299795429987
cred,inf,3.0,3.5,soft,0.012464585675398512,0.00026977624893188536,0.001008299795429987
cred,inf,5.0,2.0,hard,0.012072426568249865,0.00028951819241046885,0.0008274283704641887
