alpha,c,switch_type,n,rate,n_switched,median_tau,abias_cred_r150,abias_vig_r150,abias_sw_r150,std_cred_150,std_vig_150,std_sw_150,mean_abias_cred_post,mean_abias_vig_post,mean_abias_sw_post
1.5,2.0,hard,500,0.198,99,15.0,0.002372654941346908,0.0030444557468096373,0.0030444557468096373,0.004919749800415445,0.005985774743633545,0.005985774743633545,0.01583745677313497,0.017839985276815573,0.017839985276815573
1.5,2.0,hard_amnesic,500,0.198,99,15.0,0.002372654941346908,0.0030444557468096373,0.0043685545824994915,0.004919749800415445,0.005985774743633545,0.008973388278630064,0.01583745677313497,0.017839985276815573,0.027831362318322714
1.5,2.0,soft,500,0.198,99,15.0,0.002372654941346908,0.0030444557468096373,0.0026667595361218287,0.004919749800415445,0.005985774743633545,0.005370560496881929,0.01583745677313497,0.017839985276815573,0.016499182275249415
1.5,3.5,hard,500,0.002,1,9.0,3.0994415278762233e-07,4.291534423384036e-07,4.291534423384036e-07,0.00019042628991883248,0.00023197023256216198,0.00023197023256216198,0.06664025191689876,0.06923595633305289,0.06923595633305289
1.5,3.5,hard_amnesic,500,0.002,1,9.0,3.0994415278762233e-07,4.291534423384036e-07,1.3113021846145045e-07,0.00019042628991883248,0.00023197023256216198,0.00016086817777249962,0.06664025191689876,0.06923595633305289,0.06646747400223364
1.5,3.5,soft,500,0.002,1,9.0,3.0994415278762233e-07,4.291534423384036e-07,3.6954879756301295e-07,0.00019042628991883248,0.00023197023256216198,0.00019730480562429875,0.06664025191689876,0.06923595633305289,0.07370067205227593
3.0,2.0,hard,500,0.194,97,13.0,4.615971108072961e-05,8.73836967133999e-05,8.73836967133999e-05,0.0006684036139309525,0.0008747267636877726,0.0008747267636877726,0.008467036326442065,0.009258893581573792,0.009258893581573792
3.0,2.0,hard_amnesic,500,0.194,97,13.0,4.615971108072961e-05,8.73836967133999e-05,0.001193171616682074,0.0006684036139309525,0.0008747267636877726,0.003056600877930709,0.008467036326442065,0.009258893581573792,0.0200192306574978
3.0,2.0,soft,500,0.194,97,13.0,4.615971108072961e-05,8.73836967133999e-05,4.454424086305433e-05,0.0006684036139309525,0.0008747267636877726,0.0006742127248220682,0.008467036326442065,0.009258893581573792,0.008800928751951466
3.0,3.5,hard,500,0.004,2,54.0,6.318092345969362e-07,6.616115569846315e-07,6.616115569846315e-07,0.00025783262026379816,0.000262004276009975,0.000262004276009975,0.0007631515898329386,0.006997622213883047,0.006997622213883047
3.0,3.5,hard_amnesic,500,0.004,2,54.0,6.318092345969362e-07,6.616115569846315e-07,0.0004696458578109519,0.00025783262026379816,0.000262004276009975,0.006037873921741266,0.0007631515898329386,0.006997622213883047,0.02777023918012206
3.0,3.5,soft,500,0.004,2,54.0,6.318092345969362e-07,6.616115569846315e-07,6.169080734030885e-07,0.00025783262026379816,0.000262004276009975,0.0002537762102292618,0.0007631515898329386,0.006997622213883047,0.001031767409829719
5.0,2.0,hard,500,0.232,116,9.0,6.77336135814937e-05,6.776906806847217e-05,6.776906806847217e-05,0.0007826429170642675,0.0007841996566185745,0.0007841996566185745,0.009027959129202567,0.009351258665145372,0.009351258665145372
5.0,2.0,hard_amnesic,500,0.232,116,9.0,6.77336135814937e-05,6.776906806847217e-05,0.003093982847600147,0.0007826429170642675,0.0007841996566185745,0.005081167388208704,0.009027959129202567,0.009351258665145372,0.021057412900933718
5.0,2.0,soft,500,0.232,116,9.0,6.77336135814937e-05,6.776906806847217e-05,7.066458206752322e-05,0.0007826429170642675,0.0007841996566185745,0.000796579213985747,0.009027959129202567,0.009351258665145372,0.009337671285192816
5.0,3.5,hard,500,0.082,41,1.0,2.9095098739712192e-05,2.909655251153598e-05,2.909655251153598e-05,0.0006382064553110127,0.0006383239607842451,0.0006383239607842451,0.01291489359304905,0.013315429981214716,0.013315429981214716
5.0,3.5,hard_amnesic,500,0.082,41,1.0,2.9095098739712192e-05,2.909655251153598e-05,6.525676424909896e-05,0.0006382064553110127,0.0006383239607842451,0.0009336395675596629,0.01291489359304905,0.013315429981214716,0.014777817654789468
5.0,3.5,soft,500,0.082,41,1.0,2.9095098739712192e-05,2.909655251153598e-05,3.0461099089640883e-05,0.0006382064553110127,0.0006383239607842451,0.0006495367854613349,0.01291489359304905,0.013315429981214716,0.013372701938311762
10.0,2.0,hard,500,0.21,105,11.0,0.00015527495316096889,0.00015527495316096889,0.00015527495316096889,0.0006426955908076113,0.00064269584557007,0.00064269584557007,0.00610509294315053,0.006302148343225684,0.006302148343225684
10.0,2.0,hard_amnesic,500,0.21,105,11.0,0.00015527495316096889,0.00015527495316096889,0.00237288758868263,0.0006426955908076113,0.00064269584557007,0.0028458911093856435,0.00610509294315053,0.006302148343225684,0.017771405125909374
10.0,2.0,soft,500,0.21,105,11.0,0.00015527495316096889,0.00015527495316096889,0.00019955098628997978,0.0006426955908076113,0.00064269584557007,0.000668602758989456,0.00610509294315053,0.006302148343225684,0.0062738907556564305
10.0,3.5,hard,500,0.044,22,10.5,3.4903396259656674e-05,3.4903396259656674e-05,3.4903396259656674e-05,0.0007526506821408803,0.0007526506821408803,0.0007526506821408803,0.005892350171979799,0.006175077177439376,0.006175077177439376
10.0,3.5,hard_amnesic,500,0.044,22,10.5,3.4903396259656674e-05,3.4903396259656674e-05,7.520121606913681e-05,0.0007526506821408803,0.0007526506821408803,0.0012006491439010862,0.005892350171979799,0.006175077177439376,0.01491964871941664
10.0,3.5,soft,500,0.044,22,10.5,3.4903396259656674e-05,3.4903396259656674e-05,3.01638110117499e-05,0.0007526506821408803,0.0007526506821408803,0.000706910431291664,0.005892350171979799,0.006175077177439376,0.006211557854782102
