score_type,round,emp_var_sus,mean_sigma_bar_sq,theo_var_sus,ratio_emp_over_theo
surp1,1,0.21506276244988595,0.5000967807679984,0.5000967807679984,0.4300422852544945
surp1,2,0.06692195390782882,0.43934051397828977,0.21967025698914489,0.3046473146846448
surp1,3,0.04151090586884514,0.41092566919670104,0.136975223065567,0.30305412132072085
surp1,4,0.033205352297879465,0.39338852906693683,0.09834713226673421,0.33763416921828365
surp1,5,0.027155990738239558,0.3821983191702917,0.07643966383405834,0.3552604678795039
surp1,6,0.021619495398890548,0.37671043709347457,0.06278507284891242,0.3443413285657284
surp1,7,0.019564144358406796,0.3734707640933688,0.05335296629905269,0.36669272048992274
surp1,8,0.017290867864993068,0.37236545443802294,0.04654568180475287,0.3714816755187689
surp1,9,0.015754937021296395,0.37085595362364326,0.0412062170692937,0.382343688448818
surp1,10,0.01444616222010552,0.3712921981556092,0.03712921981556092,0.3890779901077024
surp1,11,0.013270472153779595,0.3708984223452727,0.03371803839502479,0.39357189164769735
surp1,12,0.012632904929427723,0.3714195581421729,0.030951629845181076,0.40814990979851634
surp1,13,0.011865343448744963,0.37212163605703713,0.028624741235156702,0.41451356193124406
surp1,14,0.011228288986948816,0.3724269538047148,0.02660192527176534,0.4220855773497814
surp1,15,0.010480030781841145,0.3730568639002352,0.02487045759334901,0.42138471889812634
surp1,16,0.009840017947021721,0.37356661691826226,0.02334791355739139,0.421451703717937
surp1,17,0.009429183456484115,0.37372510560151434,0.02198382974126555,0.4289145052276639
surp1,18,0.009370484092766203,0.37423910190125215,0.02079106121673623,0.4506977299082368
surp1,19,0.00908764518266223,0.3744578445796075,0.019708307609453028,0.46110733416315103
surp1,20,0.008400703299742676,0.3746568673741845,0.018732843368709225,0.4484478482201456
surp1,21,0.008090345412741454,0.3747948914267249,0.017847375782224995,0.4533072823400174
surp1,22,0.007677119195831828,0.37513022623500897,0.017051373919773134,0.4502346398567495
surp1,23,0.00738455391836333,0.3753959872795936,0.016321564664330157,0.45244154406972076
surp1,24,0.0069664746223488125,0.37542424751249365,0.015642676979687235,0.44535053887484305
surp1,25,0.006616479552486625,0.37558061128641135,0.015023224451456454,0.4404167410176168
surp1,26,0.006422853814539379,0.375666664098066,0.014448717849925614,0.44452759623736754
surp1,27,0.006422497865672404,0.3759564439078674,0.013924312737328423,0.46124343706062515
surp1,28,0.006318608914974,0.37598627279497315,0.01342808117124904,0.4705518855890459
surp1,29,0.006139687883065199,0.3759756414105202,0.012964677290017938,0.47357043648069885
surp1,30,0.0061173414220046145,0.37605203881389854,0.012535067960463284,0.4880182094982853
surp1,31,0.005971909938577969,0.37618795259682025,0.012135095245058718,0.4921189177324065
surp1,32,0.005915360940819371,0.3760798029450335,0.011752493842032297,0.5033281463771827
surp1,33,0.0058076250332264635,0.376057472556282,0.011395680986554,0.509633872699578
surp1,34,0.005748416255666734,0.37599563971917654,0.011058695285858134,0.5198096255548168
surp1,35,0.005570550050550275,0.37588467980871393,0.01073956228024897,0.5186943289853649
surp1,36,0.005443732195262628,0.3758080825640231,0.010439113404556197,0.5214745720538573
surp1,37,0.0053799865451697486,0.37571606491915255,0.010154488241058177,0.5298136565284074
surp1,38,0.005350203801579573,0.37593047194764284,0.009892907156516917,0.5408120906153603
surp1,39,0.00527406546570719,0.3761151117369727,0.00964397722402494,0.5468765990621082
surp1,40,0.005233329772188539,0.37615805257752105,0.009403951314438027,0.5565032822058245
surp1,41,0.005155139861765576,0.37609669334256807,0.00917309008152605,0.5619850907326922
surp1,42,0.00507512214541973,0.3761910533980973,0.00895692984281184,0.5666140334338604
surp1,43,0.004937054823998423,0.3762023110711648,0.008748890955143368,0.5643063617218806
surp1,44,0.004882353032447389,0.37628359144241796,0.0085518998055095,0.5709085868033638
surp1,45,0.004745069997624281,0.37625420114434344,0.008361204469874298,0.5675103407315212
surp1,46,0.004670122621644071,0.37624200641182237,0.008179174052430922,0.5709772883798786
surp1,47,0.0045711629830638995,0.37624756740780485,0.008005267391655422,0.5710194000301371
surp1,48,0.004556889906349893,0.37637701777596994,0.007841187870332706,0.5811479053564038
surp1,49,0.004484740048256582,0.37631144542513606,0.007679825416839511,0.5839638018883758
surp1,50,0.0044745035273799525,0.37637358769610135,0.007527471753922027,0.5944231574231559
surp1,51,0.004406705148815052,0.3763177757221264,0.007378779916120125,0.5972132519073918
surp1,52,0.004319166189716073,0.37619056781706284,0.007234433996481978,0.5970289025812432
surp1,53,0.0042860621050468985,0.3762637537712273,0.007099316108891081,0.6037288718104968
surp1,54,0.0042889374524519,0.3763503007907174,0.006969450014642915,0.6153910916127932
surp1,55,0.004292772146889271,0.3763672571080477,0.0068430410383281395,0.6273193632546242
surp1,56,0.004200538705713901,0.37631795486095554,0.00671996347965992,0.6250835616038912
surp1,57,0.004180354760471693,0.37632576719331157,0.006602206441987922,0.6331754084340613
surp1,58,0.004106562277829907,0.3763914827040918,0.006489508322484341,0.6328002174836282
surp1,59,0.004084182825046215,0.3764629087123348,0.006380727266310759,0.6400810839557524
surp1,60,0.004061542068468825,0.37626002638181366,0.006271000439696894,0.6476705124685237
surp1,61,0.004027029432036222,0.3763147466400492,0.006169094207213921,0.6527748315671943
surp1,62,0.00399222194947203,0.3762497835498913,0.006068544895965988,0.6578548923854588
surp1,63,0.003930716821515732,0.37624796166889246,0.005972189867760198,0.6581701031869408
surp1,64,0.003890144747969477,0.37614233575661604,0.005877223996197126,0.6619017329417096
surp1,65,0.0038361536862867767,0.3761327143458391,0.0057866571437821404,0.6629308754552338
surp1,66,0.0038306744962471936,0.376078616154202,0.005698160850821242,0.6722650687712862
surp1,67,0.0037971508788666934,0.37609863479063516,0.0056134124595617185,0.6764425215892946
surp1,68,0.003730338213381014,0.37611714565443355,0.00553113449491814,0.674425511946663
surp1,69,0.0037286417726429062,0.3760872170394292,0.005450539377383032,0.6840867507745884
surp1,70,0.003700898141216236,0.3760519971714427,0.005372171388163468,0.6889017259148589
surp1,71,0.0036874070517279606,0.3760308088882622,0.0052962085758910165,0.6962352405291371
surp1,72,0.0037332214372356935,0.37600103602314966,0.0052222366114326344,0.714870220369342
surp1,73,0.003714233906082463,0.375972560883357,0.0051503090531966715,0.7211671897198341
surp1,74,0.0036822397185946884,0.37589623049105775,0.005079678790419699,0.7248961736595259
surp1,75,0.003685167560205246,0.37593326334767785,0.005012443511302371,0.7352038086605265
surp1,76,0.0036296536930674767,0.37586955042832393,0.004945651979320052,0.7339080283539272
surp1,77,0.0036279698719246804,0.3757712989065047,0.004880146739045515,0.7434140950922017
surp1,78,0.0036083759385565307,0.375753201389727,0.004817348735765731,0.7490377252048723
surp1,79,0.0035747086028302183,0.37580469321544313,0.004757021433106875,0.7514594275215463
surp1,80,0.0035782944140457687,0.3757160640657096,0.004696450800821371,0.7619145958944049
surp1,81,0.0035700004365954528,0.375738243666338,0.0046387437489671356,0.7696050115702878
surp1,82,0.00353323476313458,0.37569531238514753,0.0045816501510383845,0.771170789269846
surp1,83,0.003550942209141403,0.37565564157399983,0.004525971585228913,0.7845701508004065
surp1,84,0.003528115468574005,0.3756026938688838,0.004471460641296236,0.7890297492479408
surp1,85,0.003523129394801754,0.37563367679111886,0.00441921972695434,0.7972288350617592
surp1,86,0.0035114095339796193,0.3755515688470959,0.004366878707524371,0.8041005416361275
surp1,87,0.003508400792246344,0.37554253424825434,0.0043165808534282105,0.8127730978234745
surp1,88,0.003501307997595432,0.37550732599194614,0.004267128704453934,0.8205302066330563
surp1,89,0.003468267796605877,0.37550261498237164,0.004219130505419906,0.8220337797445543
surp1,90,0.003402506438807398,0.37538425170566175,0.0041709361300629084,0.8157656537301327
surp1,91,0.0034067930211225555,0.3753294445092851,0.004124499390211925,0.8259894592801741
surp1,92,0.0034004929087904966,0.37528357077653246,0.004079169247571005,0.8336238832981409
surp1,93,0.0033773808514460765,0.37524826570734915,0.004034927588251066,0.8370362980689817
surp1,94,0.003302348810247767,0.3751177758774762,0.003990614636994428,0.8275288672661625
surp1,95,0.0032457827495148113,0.375031199787588,0.003947696839869347,0.8221965569226014
surp1,96,0.003237688612479739,0.3749567575127412,0.0039057995574243876,0.8289438730477959
surp1,97,0.003227634597503631,0.374933934316841,0.003865298291926196,0.8350285938462985
surp1,98,0.0031966007280660293,0.3749299034932606,0.0038258153417679653,0.835534505068097
surp1,99,0.00316167769533449,0.37483199511815285,0.003786181768870231,0.8350570279878325
surp1,100,0.0031561956904668977,0.3747516477035924,0.0037475164770359244,0.8422099568627572
surp1,101,0.003119491766808886,0.3746871819549181,0.0037097740787615657,0.8408845661702037
surp1,102,0.0030913661702171276,0.3746217701337057,0.0036727624522912322,0.8417005483947365
surp1,103,0.003068736980410232,0.3745610437059024,0.0036365149874359455,0.8438675465418484
surp1,104,0.003051587117234801,0.3745082950838981,0.0036010412988836354,0.8474179727349499
surp1,105,0.0030353213835521697,0.37447826900954917,0.0035664597048528494,0.8510740719773269
surp1,106,0.0030241720830280375,0.3743896694295478,0.0035319780134863,0.8562261915223465
surp1,107,0.0030079309797500418,0.37432893119523364,0.0034984012261236788,0.8598016023116105
surp1,108,0.002990810220754506,0.37426654678976157,0.0034654309887940885,0.8630413447636588
surp1,109,0.00295290082973387,0.374271621428541,0.003433684600261844,0.8599802176090051
surp1,110,0.00294194591216943,0.37419896772540384,0.0034018087975036713,0.864818126853073
surp1,111,0.0029202965375945,0.37417942824390954,0.003370985840035221,0.8663034127618845
surp1,112,0.00289647705828026,0.3740670097998593,0.003339884016070172,0.8672388155826918
surp1,113,0.0029169516045827563,0.37405800471886413,0.003310247829370479,0.8811882840619467
surp1,114,0.0029136399147234376,0.37401050074746245,0.003280793866205811,0.8880899055364971
surp1,115,0.0029064429326536934,0.3739745926794142,0.003251952979820993,0.8937530618335329
surp1,116,0.002899092198542451,0.3738804177784717,0.003223107049814411,0.8994712722028214
surp1,117,0.0029082188744835734,0.3738301503413779,0.003195129490097247,0.910203759658911
surp1,118,0.002905153099329575,0.37378611221643127,0.0031676789170884006,0.9171236022872772
surp1,119,0.0028843643332218676,0.3736740488068792,0.0031401180572006655,0.9185528316706679
surp1,120,0.0028834782530222647,0.3736349987254938,0.0031136249893791153,0.9260839898375995
surp1,121,0.002881728494878004,0.3735585796811419,0.0030872609891003464,0.9334256174168688
surp1,122,0.0028557565840930895,0.37350370893665663,0.003061505810956202,0.9327947619348629
surp1,123,0.002848694084786408,0.3734470053844073,0.0030361545153203846,0.938257282497299
surp1,124,0.0028344516929547053,0.3733373617276528,0.0030107851752230064,0.9414327253503764
surp1,125,0.002834111363414336,0.37325855739387265,0.0029860684591509813,0.9491113154921268
surp1,126,0.0028151936005240876,0.37319459875661876,0.0029618618948937998,0.9504810488893605
surp1,127,0.0027849266222854632,0.37311934944171193,0.0029379476333993067,0.9479156778105017
surp1,128,0.002785564917359834,0.3730489541704568,0.0029144449544566938,0.955778874155856
surp1,129,0.002781720259353831,0.37299804947324333,0.0028914577478545995,0.9620476942531181
surp1,130,0.0027663842493435473,0.3729780160410067,0.0028690616618538976,0.9642121973621147
surp1,131,0.0027582731688157195,0.372891431712743,0.002846499478723229,0.9690053307344771
surp1,132,0.0027258146634670435,0.3728062874715421,0.0028242900566025917,0.9651326913447387
surp1,133,0.002721239538080609,0.3727307098620324,0.002802486540316033,0.9710089589845945
surp1,134,0.0027381225068804868,0.3726990615905317,0.0027813362805263558,0.9844629454020242
surp1,135,0.002734815264232532,0.37266201777470986,0.0027604593909237767,0.9907101960001437
surp1,136,0.0027247813286584116,0.37261329904723,0.0027398036694649265,0.9945170009902758
surp1,137,0.002717354605480763,0.372546712713116,0.002719319070898657,0.999277589217493
surp1,138,0.0027065521848596108,0.37248585150911584,0.0026991728370225785,1.0027339293489528
surp1,139,0.002693656569734496,0.3724133360202802,0.002679232633239426,1.0053836073494038
surp1,140,0.0027069651213222795,0.37237219517687853,0.002659801394120561,1.0177320484551864
surp1,141,0.002699847227906293,0.37234740227485746,0.0026407617182614006,1.0223744191822777
surp1,142,0.0026867549663255725,0.372275642906236,0.002621659457086169,1.024829887445318
surp1,143,0.0026717367125649633,0.3722035598848019,0.002602822097096517,1.0264768827440498
surp1,144,0.00266926127357998,0.3721192429892022,0.0025841614096472373,1.0329313268184588
surp1,145,0.0026547900352806484,0.3720467311175986,0.002565839524948956,1.0346672149473033
surp1,146,0.002644854246768161,0.3719829573619415,0.002547828475081791,1.0380817518272125
surp1,147,0.0026381059918166665,0.37189325895769176,0.0025298861153584475,1.0427765802583908
surp1,148,0.0026221758935606266,0.37182582107177203,0.0025123366288633247,1.0437199630954699
surp1,149,0.002610335598519086,0.37174932231984414,0.0024949618947640545,1.0462426716805397
surp1,150,0.0025968979545209388,0.37170218613886363,0.002478014574259091,1.047975254664268
surp2,1,0.26037453057078813,0.2763238671249293,0.2763238671249293,0.9422802788623023
surp2,2,0.15848119079145587,0.3368681573708662,0.1684340786854331,0.940909298334067
surp2,3,0.1235979857798899,0.3706259024269754,0.12354196747565847,1.000453435422602
surp2,4,0.09863759266421145,0.38537860920259825,0.09634465230064956,1.023799352728023
surp2,5,0.0802355207907798,0.3898444546548934,0.07796889093097868,1.0290709516672185
surp2,6,0.0675870782443848,0.3912785081820256,0.06521308469700426,1.0364036382945336
surp2,7,0.05977457952928278,0.39176402601278854,0.055966289430398365,1.0680461423768417
surp2,8,0.049574667753231286,0.39204101589164997,0.049005126986456246,1.0116220649103194
surp2,9,0.04388789246212088,0.39250036886709877,0.04361115209634431,1.0063456329969271
surp2,10,0.04085782926156575,0.3929036472351028,0.03929036472351028,1.0398943748444653
surp2,11,0.036178044314540525,0.3933693239047409,0.035760847627703714,1.0116662974876918
surp2,12,0.03306256562232659,0.39365203587244013,0.03280433632270335,1.0078718038091972
surp2,13,0.030869970178295535,0.3938561542451728,0.030296627249628675,1.0189243153682688
surp2,14,0.029385509082755445,0.39409658562304123,0.028149756115931516,1.0438992423854268
surp2,15,0.02681674295310198,0.394249763052298,0.026283317536819863,1.020295208758744
surp2,16,0.025389035544793926,0.3944151367922742,0.024650946049517137,1.0299416295745472
surp2,17,0.023918050402271445,0.3945360743580116,0.023208004374000682,1.0305948765274369
surp2,18,0.02272529019010918,0.3945537196946175,0.021919651094145415,1.0367541934177478
surp2,19,0.021374231944501512,0.39454521083724636,0.02076553741248665,1.0293127271364932
surp2,20,0.019970450965033092,0.3944904348398171,0.019724521741990856,1.0124681970117777
surp2,21,0.01926171234623215,0.39439806045383335,0.018780860021611112,1.0256033176365578
surp2,22,0.018356117655739954,0.39424869109988936,0.017920395049994972,1.0243143415381963
surp2,23,0.017641446717637295,0.3940726117314716,0.01713359181441181,1.0296408895885045
surp2,24,0.01709519785305999,0.39388949109926147,0.016412062129135895,1.041624003038067
surp2,25,0.01620493592446944,0.3937082875196421,0.015748331500785685,1.0289938285627893
surp2,26,0.015613433751256112,0.39353327731333204,0.015135895281282001,1.0315500643404072
surp2,27,0.01526453768795478,0.393335332568295,0.014567975280307222,1.047814634102871
surp2,28,0.014996492749543162,0.3931603680656086,0.01404144171662888,1.0680165934658434
surp2,29,0.01442567605195345,0.3929918215832282,0.013551442123559593,1.0645122430825258
surp2,30,0.013826233656329444,0.3928117136367176,0.013093723787890586,1.055943586431562
surp2,31,0.013593301696183762,0.3926256801106731,0.012665344519699133,1.0732674247464271
surp2,32,0.012909083695418534,0.3924382466914002,0.012263695209106256,1.0526259398417739
surp2,33,0.012333366848339862,0.39222230338911607,0.011885524345124729,1.0376796589036337
surp2,34,0.012010549723202913,0.3920286345788196,0.011530253958200577,1.041655263339689
surp2,35,0.011573066336641593,0.39184180237570454,0.011195480067877272,1.0337266706273467
surp2,36,0.011458745858771543,0.39164872381141874,0.010879131216983855,1.0532776588706667
surp2,37,0.011307324110651313,0.3914502839128545,0.010579737403050122,1.0687717170930378
surp2,38,0.011209106930166217,0.39125341971686595,0.01029614262412805,1.0886705185977823
surp2,39,0.01078010143872891,0.3910660342795107,0.010027334212295146,1.0750715205553585
surp2,40,0.010558852611056893,0.390888607075877,0.009772215176896925,1.0804973508994875
surp2,41,0.010392270693092507,0.39071089416401933,0.009529534004000471,1.0905329356849833
surp2,42,0.010243788887063142,0.39053843026828483,0.009298534054006782,1.1016563285746148
surp2,43,0.010049600374441588,0.3903783576865241,0.009078566457826143,1.1069589478830513
surp2,44,0.009680269407053575,0.39022641511201556,0.008868782161636717,1.0914992871205103
surp2,45,0.009402367564648118,0.39007809990648085,0.008668402220144018,1.0846713530203385
surp2,46,0.009050197531376173,0.3899368985738435,0.008476889099431381,1.0676319372850176
surp2,47,0.008800629438849615,0.38979791861929813,0.008293572736580811,1.0611385127223045
surp2,48,0.008639198501046498,0.38966566980288153,0.008118034787560032,1.0641982606781988
surp2,49,0.008482387843326866,0.38954039534441137,0.00794980398662064,1.0669933318610816
surp2,50,0.00829259230346979,0.3894143892138358,0.007788287784276716,1.0647516544279712
surp2,51,0.0080959022185614,0.389298125361004,0.007633296575705961,1.0606036511574497
surp2,52,0.007920748547109157,0.3891853612429937,0.007484333870057571,1.0583104234296041
surp2,53,0.007754632654375259,0.3890711870199378,0.007340965792829016,1.0563504684833611
surp2,54,0.007730940128456878,0.38895617057674076,0.007202892047717422,1.0733105643179526
surp2,55,0.00765372408198533,0.38884562959109803,0.007069920538019964,1.082575686788252
surp2,56,0.0074899215368216835,0.3887408447460715,0.006941800799036992,1.0789594449124398
surp2,57,0.007360637777135465,0.3886337802346863,0.006818136495345374,1.079567383574742
surp2,58,0.007272089054229278,0.38852830392701715,0.006698763860810641,1.0855867150016627
surp2,59,0.007207990648302654,0.3884204769038991,0.006583397913625408,1.0948739150924707
surp2,60,0.007185860246211299,0.38831732200402663,0.006471955366733778,1.110307447907789
surp2,61,0.007092585053044318,0.38821139652593184,0.006364121254523473,1.1144641607830885
surp2,62,0.006953908937818203,0.38810880265763886,0.006259819397703852,1.1108801222554356
surp2,63,0.006792762052645502,0.3880094361199894,0.00615887993841253,1.1029216546793663
surp2,64,0.0066681697352329325,0.3879143025330166,0.006061160977078385,1.1001472754889838
surp2,65,0.006571136108464028,0.3878157223622426,0.005966395728649886,1.1013577387953424
surp2,66,0.0064837650969685355,0.3877208953695368,0.005874559020750557,1.103702435206812
surp2,67,0.006369428989917132,0.38762373000336864,0.005785428806020427,1.100943284150171
surp2,68,0.006239516288643214,0.38752732198078854,0.005698931205599831,1.0948572747311283
surp2,69,0.006179654125864985,0.3874352788198104,0.005615004040866817,1.1005609400970262
surp2,70,0.006096000029271771,0.3873487892435161,0.0055335541320502305,1.101642793004204
