score_type,round,emp_var_score,theo_var_naive,theo_var_corrected,ratio_naive,ratio_corrected
surp2,1,0.2811896180443842,0.2763238671249293,0.2763238671249293,1.0176088695127268,1.0176088695127268
surp2,2,0.2567532467501544,0.3700545703415797,0.3700545703415797,0.6938253634137196,0.6938253634137196
surp2,3,0.31091561962245595,0.4268237740170344,0.4268237740170344,0.7284402569619924,0.7284402569619924
surp2,4,0.45662963179972677,0.4064656436739118,0.4064656436739118,1.1234150755581673,1.1234150755581673
surp2,5,0.3561632230681388,0.39399091049137824,0.39399091049137824,0.9039884260881516,0.9039884260881516
surp2,6,0.509062383015259,0.38921814246228176,0.38921814246228176,1.307910211468601,1.307910211468601
surp2,7,0.6060077279659254,0.39076791290183693,0.39076791290183693,1.550812407973113,1.550812407973113
surp2,8,0.4940673313015879,0.40584501891409874,0.40584501891409874,1.2173793154429777,1.2173793154429777
surp2,9,0.38945793930217343,0.4084636029474145,0.4084636029474145,0.9534703618435059,0.9534703618435059
surp2,10,0.23492584168855057,0.4097904171254639,0.4097904171254639,0.5732829072394445,0.5732829072394445
surp2,11,0.35715492364824,0.40508402118620235,0.40508402118620235,0.8816810956956234,0.8816810956956234
surp2,12,0.4303036471141361,0.39130898480411724,0.39130898480411724,1.0996518450235404,1.0996518450235404
surp2,13,0.5166985976472003,0.3891403153978482,0.3891403153978482,1.3277950836806496,1.3277950836806496
surp2,14,0.4650025152343639,0.3860523760968742,0.3860523760968742,1.20450628988663,1.20450628988663
surp2,15,0.5782246501224702,0.3905492929696724,0.3905492929696724,1.4805420481643823,1.4805420481643823
surp2,16,0.4156706929328972,0.38939566266494474,0.38939566266494474,1.067476432809065,1.067476432809065
surp2,17,0.29933606009913,0.38642012819471466,0.38642012819471466,0.7746388923826878,0.7746388923826878
surp2,18,0.36055829952799745,0.387553458720552,0.387553458720552,0.9303446825589561,0.9303446825589561
surp2,19,0.24431740125116685,0.3858675713866576,0.3858675713866576,0.6331638607856716,0.6331638607856716
surp2,20,0.3527261530378887,0.38589663834312576,0.38589663834312576,0.9140430830191812,0.9140430830191812
surp2,21,0.6239869898957237,0.3858343377974524,0.3858343377974524,1.6172406879537298,1.6172406879537298
surp2,22,0.3336444590735693,0.39022681120064573,0.39022681120064573,0.855001372271207,0.855001372271207
surp2,23,0.43738268136766434,0.3871541250746253,0.3871541250746253,1.1297378822538886,1.1297378822538886
surp2,24,0.3337444702864465,0.3839104577732433,0.3839104577732433,0.8693289373314562,0.8693289373314562
surp2,25,0.3975972602363815,0.3829127162569115,0.3829127162569115,1.0383495855740072,1.0383495855740072
surp2,26,1.4245431585515649,0.38206755451768126,0.38206755451768126,3.728511206218219,3.728511206218219
surp2,27,0.7992071757021999,0.382979277224901,0.382979277224901,2.086815718838158,2.086815718838158
surp2,28,0.31493555471396667,0.3834698934010507,0.3834698934010507,0.8212784370651814,0.8212784370651814
surp2,29,0.6092256058939589,0.38309715353182655,0.38309715353182655,1.590263984677052,1.590263984677052
surp2,30,0.4288973411436409,0.3833773945937869,0.3833773945937869,1.118734039074175,1.118734039074175
