score_type,round,emp_var_sus,mean_sb_sq_naive,mean_sb_sq_corrected,theo_var_sus_naive,theo_var_sus_corrected,ratio_naive,ratio_corrected
surp2,1,0.2811896180443842,0.2763238671249293,0.2763238671249293,0.2763238671249293,0.2763238671249293,1.0176088695127268,1.0176088695127268
surp2,2,0.16684584431763402,0.3231892187332545,0.3231892187332545,0.16159460936662726,0.16159460936662726,1.0324963497952628,1.0324963497952628
surp2,3,0.10370643435052886,0.3577340704945145,0.3577340704945145,0.11924469016483817,0.11924469016483817,0.8696943587774855,0.8696943587774855
surp2,4,0.0819623176517728,0.36991696378936384,0.36991696378936384,0.09247924094734096,0.09247924094734096,0.8862780102016986,0.8862780102016986
surp2,5,0.07409852661603883,0.3747317531297667,0.3747317531297667,0.07494635062595334,0.07494635062595334,0.9886875878167053,0.9886875878167053
surp2,6,0.06558853947856952,0.37714615135185253,0.37714615135185253,0.06285769189197542,0.06285769189197542,1.0434449230380145,1.0434449230380145
surp2,7,0.050587676885280555,0.3790921172875646,0.3790921172875646,0.05415601675536637,0.05415601675536637,0.9341100013650427,0.9341100013650427
surp2,8,0.044388643584922595,0.38243622999088134,0.38243622999088134,0.04780452874886017,0.04780452874886017,0.9285447372176214,0.9285447372176214
surp2,9,0.04240236004407804,0.385328160319385,0.385328160319385,0.04281424003548722,0.04281424003548722,0.9903798364500271,0.9903798364500271
surp2,10,0.03879398556053414,0.3877743859999929,0.3877743859999929,0.03877743859999929,0.03877743859999929,1.0004267161816833,1.0004267161816833
surp2,11,0.03149950472132189,0.3893479891987392,0.3893479891987392,0.03539527174533993,0.03539527174533993,0.8899353831198952,0.8899353831198952
surp2,12,0.03137751734270997,0.3895114054991874,0.3895114054991874,0.03245928379159895,0.03245928379159895,0.9666731263747428,0.9666731263747428
surp2,13,0.027133307103221004,0.3894828601067767,0.3894828601067767,0.029960220008213592,0.029960220008213592,0.905644454405956,0.905644454405956
surp2,14,0.025907034220695842,0.3892378255346408,0.3892378255346408,0.027802701823902914,0.027802701823902914,0.931817144419493,0.931817144419493
surp2,15,0.026822533486395638,0.38932525669697626,0.38932525669697626,0.02595501711313175,0.02595501711313175,1.0334238413129373,1.0334238413129373
surp2,16,0.02229878931421865,0.3893296570699743,0.3893296570699743,0.024333103566873394,0.024333103566873394,0.9163972549961026,0.9163972549961026
surp2,17,0.01929334892587221,0.38915850831260607,0.38915850831260607,0.022891676959565063,0.022891676959565063,0.8428106407386058,0.8428106407386058
surp2,18,0.019751534737889494,0.3890693388908253,0.3890693388908253,0.021614963271712515,0.021614963271712515,0.9137898820183661,0.9137898820183661
surp2,19,0.018100258641014094,0.38890082481165855,0.38890082481165855,0.020468464463771503,0.020468464463771503,0.884299780916685,0.884299780916685
surp2,20,0.016191339354041254,0.3887506154882319,0.3887506154882319,0.019437530774411595,0.019437530774411595,0.8329936318534982,0.8329936318534982
surp2,21,0.01476352594011582,0.38861174512200436,0.38861174512200436,0.018505321196285923,0.018505321196285923,0.7977989565011661,0.7977989565011661
surp2,22,0.014671470369256088,0.38868515721648805,0.38868515721648805,0.017667507146204003,0.017667507146204003,0.8304210802262709,0.8304210802262709
surp2,23,0.015452752611047652,0.38861859060162446,0.38861859060162446,0.016896460460940194,0.016896460460940194,0.9145556045166984,0.9145556045166984
surp2,24,0.014459832087694658,0.3884224184004419,0.3884224184004419,0.016184267433351746,0.016184267433351746,0.8934498980099985,0.8934498980099985
surp2,25,0.014786943101907802,0.38820203031470074,0.38820203031470074,0.01552808121258803,0.01552808121258803,0.9522711080310802,0.9522711080310802
surp2,26,0.01416048296903663,0.3879660889378922,0.3879660889378922,0.014921772651457391,0.014921772651457391,0.9489812839129133,0.9489812839129133
surp2,27,0.014726847759595022,0.38778139220778146,0.38778139220778146,0.014362273785473388,0.014362273785473388,1.0253841403921975,1.0253841403921975
surp2,28,0.013701089539410858,0.38762741010754104,0.38762741010754104,0.013843836075269322,0.013843836075269322,0.989688801927273,0.989688801927273
surp2,29,0.016224118818491128,0.38747119436355093,0.38747119436355093,0.013361075667708652,0.013361075667708652,1.214282384292003,1.214282384292003
surp2,30,0.016742934371501674,0.3873347343712254,0.3873347343712254,0.01291115781237418,0.01291115781237418,1.2967802434770863,1.2967802434770863
sus_1,1,0.30531898806655855,0.4410664549883313,0.3702979116156458,0.4410664549883313,0.3702979116156458,0.6922289931902347,0.8245225762533257
sus_1,2,0.20638333978713486,0.38681508597231423,0.30805321592710566,0.19340754298615712,0.15402660796355283,1.0670904381526964,1.339920047034803
sus_1,3,0.11392433694369622,0.37938480234990074,0.30859661827829815,0.12646160078330024,0.10286553942609938,0.900861101220066,1.1075073107990814
sus_1,4,0.06546587212988143,0.3613607912765061,0.29344666055267277,0.09034019781912653,0.07336166513816819,0.7246593843081138,0.8923716767685691
sus_1,5,0.05509484845529196,0.34944044229437327,0.28272847324077593,0.06988808845887465,0.05654569464815519,0.7883295947879916,0.9743420573062044
sus_1,6,0.058333287922566014,0.3399845089845527,0.2740239722943391,0.05666408483075878,0.04567066204905652,1.0294578673032966,1.277259520781812
sus_1,7,0.046884943036334135,0.336046718069402,0.2702778944838211,0.048006674009914575,0.03861112778340302,0.976633853589841,1.2142857701371679
sus_1,8,0.03856948178251517,0.33627728896888454,0.27113509903384847,0.04203466112111057,0.03389188737923106,0.9175637617581478,1.138015164246962
sus_1,9,0.03561228265029495,0.33650747046682533,0.2718747312576717,0.03738971894075837,0.030208303473074634,0.952461897526439,1.1788905220062096
sus_1,10,0.03244092225788339,0.3356432411797293,0.2716543449164476,0.03356432411797293,0.02716543449164476,0.9665298828559464,1.1941985418220058
sus_1,11,0.027653598605875157,0.3337888262555414,0.2706981542741878,0.030344438750503765,0.024608923115835256,0.9113234498501332,1.1237224187222044
sus_1,12,0.026067519488798672,0.33304287230619,0.27092944725153256,0.0277535726921825,0.022577453937627712,0.9392491474130555,1.1545818922192284
sus_1,13,0.023089507477342414,0.3327329801796229,0.2717284710201142,0.02559484462920176,0.020902190078470325,0.9021155553723914,1.1046453692488938
sus_1,14,0.024716823781414467,0.3342461803850248,0.2743606749077255,0.023874727170358913,0.019597191064837535,1.0352714653049957,1.2612431903959382
sus_1,15,0.021450440012882384,0.33475097385354874,0.2756985913417351,0.02231673159023658,0.018379906089449005,0.9611819690597886,1.167059282484366
sus_1,16,0.02120708822083649,0.3344318119880593,0.2763191015321668,0.020901988249253708,0.017269943845760426,1.0145966961584947,1.227976674981638
sus_1,17,0.016946921533904938,0.33490166258600096,0.277520375773706,0.019700097799176527,0.016324727986688586,0.8602455534313808,1.038113562916558
sus_1,18,0.016543086212185566,0.3351539670131013,0.27844107886297526,0.018619664834061182,0.015468948825720847,0.8884738989459732,1.0694382920627876
sus_1,19,0.016989626277334864,0.3355725455220582,0.2794110646901987,0.01766171292221359,0.01470584551001046,0.9619466895516445,1.1552974812478347
sus_1,20,0.01567297300373887,0.3361819383054192,0.2806416619429157,0.01680909691527096,0.014032083097145783,0.9324101754389953,1.1169384399474411
