score_type,round,emp_var,theo_var_mean,n,ratio_emp_over_theo
surp1,1,0.2186035193793056,0.4961001201575904,1000,0.4406439557197937
surp1,2,0.10864555660794735,0.3828886719399443,1000,0.28375233996211907
surp1,3,0.11263935834371004,0.3575525717809139,1000,0.3150288020099279
surp1,4,0.12726851999589,0.3292556879538539,1000,0.3865340057959061
surp1,5,0.13447810893515882,0.33484316609141995,1000,0.40161521139853035
surp1,6,0.13634332017744752,0.3440026696913756,1000,0.39634378506355455
surp1,7,0.14464704521967472,0.3580972032378737,1000,0.4039323510817532
surp1,8,0.15180022486475664,0.3594905596848169,1000,0.4222648433323183
surp1,9,0.15003968512720164,0.36764759928587804,1000,0.4081073436046912
surp1,10,0.15035410375033748,0.3755716655105986,1000,0.400333990973274
surp1,11,0.157843463043988,0.36705813005924204,1000,0.4300230675138909
surp1,12,0.14965573912603636,0.3738783628603849,1000,0.40027921910506864
surp1,13,0.14996493325693924,0.3725646569995648,1000,0.4025205570079462
surp1,14,0.15673629790873694,0.3671221879353476,1000,0.4269322396181054
surp1,15,0.15359721020853487,0.3768778717082586,1000,0.40755168116485907
surp1,16,0.16470858800010127,0.37671270738317275,1000,0.43722599416474733
surp1,17,0.16653157683286654,0.3827501018348683,1000,0.4350921816467969
surp1,18,0.16680672478904077,0.37485162092988805,1000,0.4449940068959717
surp1,19,0.16133926333142132,0.38140213870673406,1000,0.4230161474146257
surp1,20,0.1696172178634725,0.37214892001114275,1000,0.455777804913135
surp1,21,0.17141523564121594,0.37287701716194,1000,0.459709844671844
surp1,22,0.16383793960844253,0.37241514309592677,1000,0.43993361345739135
surp1,23,0.152453846372611,0.3676450093156594,1000,0.41467677381610907
surp1,24,0.16377925653684722,0.3798587877715197,1000,0.431158266727683
surp1,25,0.1649344264756552,0.37302616663428734,1000,0.44215243119219555
surp1,26,0.16421156898255856,0.3766244433888627,1000,0.43600879301668427
surp1,27,0.16673507595275738,0.3716094545420226,1000,0.4486836217831011
surp1,28,0.1605110880284338,0.37327621213687345,1000,0.43000620668958506
surp1,29,0.17377501174198043,0.3762076921272415,1000,0.46191243661016373
surp1,30,0.17361363973386376,0.36635481030376355,1000,0.4738948004802006
surp1,31,0.17323539674270838,0.37122497621421874,1000,0.4666587860261356
surp1,32,0.1687457448471357,0.37154122664968176,1000,0.45417771365179466
surp1,33,0.1812320882918487,0.37180478416051593,1000,0.4874388281502236
surp1,34,0.16940108040198956,0.37203752496830733,1000,0.45533331729486237
surp1,35,0.16302973285083727,0.3731328379433565,1000,0.4369214292406664
surp1,36,0.1797257612908682,0.372179877564095,1000,0.48290026442903733
surp1,37,0.17641861386613403,0.37619176655683395,1000,0.4689592637309387
surp1,38,0.16424583482765848,0.3762694727619888,1000,0.4365111887021274
surp1,39,0.1689637436440193,0.37196467906014563,1000,0.45424674211257127
surp1,40,0.17294063241660848,0.37434803420032253,1000,0.461978203748397
surp1,41,0.16567292311239246,0.37336022863575563,1000,0.4437347912437143
surp1,42,0.17551756148068112,0.3714417610271475,1000,0.4725305011351513
surp1,43,0.1730444635498438,0.3729617402716514,1000,0.46397376691723036
surp1,44,0.18405707753799874,0.37328856355194945,1000,0.49306915750818087
surp1,45,0.1762052989947363,0.3755920084732807,1000,0.46914017076929204
surp1,46,0.1742330171642572,0.3681868905236996,1000,0.4732189593074122
surp1,47,0.15711792766141805,0.36945533792911606,1000,0.42526906917112345
surp1,48,0.1888836325110885,0.38040197495889283,1000,0.49653693972408985
