score_type,round,emp_var_sus,mean_sigma_bar_sq,theo_var_sus,ratio_emp_over_theo
surp1,1,0.16358135358726475,0.488897214389692,0.488897214389692,0.33459252532553135
surp1,2,0.07654422599870689,0.4330698505061931,0.21653492525309656,0.35349598181096314
surp1,3,0.03785957353361572,0.4038074596546016,0.13460248655153387,0.28126949585824196
surp1,4,0.03397463850881044,0.37810549200958216,0.09452637300239554,0.3594196775956847
surp1,5,0.02576958367508471,0.37428924915672196,0.07485784983134439,0.34424691242326466
surp1,6,0.02145970115455558,0.3721717482468369,0.06202862470780615,0.3459644842303739
surp1,7,0.01708416754838604,0.36520057057375577,0.05217151008196511,0.3274616264997047
surp1,8,0.016868759160360246,0.3625522530813109,0.04531903163516386,0.3722224096966686
surp1,9,0.014868068677231895,0.36247395173263086,0.04027488352584788,0.369164783994714
surp1,10,0.010794028521932711,0.36056750187172626,0.03605675018717262,0.2993622127867958
surp1,11,0.010259504871270534,0.3598021384234968,0.03270928531122698,0.3136572619564118
surp1,12,0.010654081376976522,0.35839265662813063,0.029866054719010885,0.3567287838053411
surp1,13,0.010491805720940644,0.3578413310731501,0.02752625623639616,0.3811562905916722
surp1,14,0.009479627955415364,0.356754742556722,0.02548248161119443,0.3720056821801442
surp1,15,0.008883260935804303,0.35615906380840395,0.02374393758722693,0.3741275390052853
surp1,16,0.008623728057046448,0.3565915005952828,0.022286968787205173,0.38694037486144295
surp1,17,0.008690700973413377,0.3573440237212542,0.02102023668948554,0.413444486938652
surp1,18,0.008271427675405727,0.35689417851771166,0.01982745436209509,0.41717043067407256
surp1,19,0.008163932992419892,0.3575042007649578,0.018816010566576728,0.43388224956259624
surp1,20,0.007916580318764768,0.3589424615402209,0.017947123077011046,0.4411058131598445
surp1,21,0.008622002584709665,0.35927330437421273,0.017108252589248224,0.5039674589635302
surp1,22,0.00864607658101356,0.3611108371946862,0.016414128963394826,0.5267459881846419
surp1,23,0.00889632980799979,0.362437020278936,0.015758131316475476,0.564554871978918
surp1,24,0.00824011099162448,0.36362398299158727,0.015150999291316136,0.5438658423241652
surp1,25,0.007723709545497145,0.3652031769920177,0.014608127079680708,0.5287268862988261
surp1,26,0.007780779211617895,0.36510432030525825,0.014042473857894549,0.5540889226753741
surp1,27,0.007610693604049365,0.3661232340293866,0.013560119778866172,0.5612556325579694
surp1,28,0.007544856920655438,0.3669437114480116,0.013105132551714698,0.5757177114296532
surp1,29,0.007987904041415656,0.3679589430729321,0.012688239416308002,0.6295518061512083
surp1,30,0.00826273242076688,0.3690145000105652,0.012300483333685506,0.6717404671521291
surp2,1,0.28118961804438425,0.2763238671249293,0.2763238671249293,1.0176088695127268
surp2,2,0.17085866399994898,0.32318921873325446,0.16159460936662723,1.0573289831240804
surp2,3,0.11278244484864432,0.3540829753573853,0.11802765845246177,0.9555594538382707
surp2,4,0.10015111422642664,0.3711906621044198,0.09279766552610495,1.0792417423286698
surp2,5,0.08061026784804028,0.37893031091274365,0.07578606218254873,1.0636555789621487
surp2,6,0.06668571866294862,0.3851850962861025,0.06419751604768374,1.0387585496830862
surp2,7,0.07100864637099245,0.3865150113143401,0.055216430187762865,1.286005743752871
surp2,8,0.06302761662997854,0.38668867722719724,0.048336084653399655,1.3039454288018253
