psi_star,alpha,block,f_some
high,1.5,1-10,0.6003333333333333
high,1.5,11-50,0.5745833333333333
high,1.5,51-150,0.5748666666666666
high,3.0,1-10,0.6176666666666667
high,3.0,11-50,0.5865833333333333
high,3.0,51-150,0.5746666666666667
high,10.0,1-10,0.6263333333333333
high,10.0,11-50,0.6561666666666666
high,10.0,51-150,0.6264
inf,1.5,1-10,0.415
inf,1.5,11-50,0.4439166666666667
inf,1.5,51-150,0.4515
inf,3.0,1-10,0.3426666666666667
inf,3.0,11-50,0.39291666666666664
inf,3.0,51-150,0.3978333333333333
inf,10.0,1-10,0.2826666666666667
inf,10.0,11-50,0.3660833333333333
inf,10.0,51-150,0.36243333333333333
low,1.5,1-10,0.5813333333333334
low,1.5,11-50,0.5726666666666667
low,1.5,51-150,0.5758
low,3.0,1-10,0.619
low,3.0,11-50,0.5810833333333334
low,3.0,51-150,0.5754
low,10.0,1-10,0.621
low,10.0,11-50,0.6595
low,10.0,51-150,0.621
