alpha,c,switch_type,n,rate,n_switched,median_tau,abias_cred_r150,abias_vig_r150,abias_sw_r150,std_cred_150,std_vig_150,std_sw_150,mean_abias_cred_post,mean_abias_vig_post,mean_abias_sw_post
1.5,2.0,hard,300,0.15333333333333332,46,17.0,9.303342389023714e-05,0.0007890833784704593,0.0007890833784704593,0.0015997008047781388,0.0038333291834094048,0.0038333291834094048,0.007750648270176562,0.010448212428676626,0.010448212428676626
1.5,2.0,hard_amnesic,300,0.15333333333333332,46,17.0,9.303342389023714e-05,0.0007890833784704593,0.002946437085452282,0.0015997008047781388,0.0038333291834094048,0.008202188317671421,0.007750648270176562,0.010448212428676626,0.025645663367101734
1.5,2.0,soft,300,0.15333333333333332,46,17.0,9.303342389023714e-05,0.0007890833784704593,0.00022609742439311183,0.0015997008047781388,0.0038333291834094048,0.0024867939086115065,0.007750648270176562,0.010448212428676626,0.009186444258977236
1.5,3.5,hard,300,0.006666666666666667,2,73.0,9.208917617631318e-07,0.0035169690847396684,0.0035169690847396684,0.00029945848655188456,0.017638409044593573,0.017638409044593573,0.0003319453878659399,0.015521301927202273,0.015521301927202273
1.5,3.5,hard_amnesic,300,0.006666666666666667,2,73.0,9.208917617631318e-07,0.0035169690847396684,0.0006647676229476762,0.00029945848655188456,0.017638409044593573,0.007702411967329681,0.0003319453878659399,0.015521301927202273,0.031945499120494075
1.5,3.5,soft,300,0.006666666666666667,2,73.0,9.208917617631318e-07,0.0035169690847396684,1.8298625945878388e-06,0.00029945848655188456,0.017638409044593573,0.00039785219996701926,0.0003319453878659399,0.015521301927202273,0.00041926590311895136
3.0,2.0,hard,300,0.65,195,47.0,0.0004518968248978649,0.0011461594930061935,0.0011461594930061935,0.0010390852216778828,0.002547398784162312,0.002547398784162312,0.004088679159801406,0.005999081937601833,0.005999081937601833
3.0,2.0,hard_amnesic,300,0.65,195,47.0,0.0004518968248978649,0.0011461594930061935,0.008100260289815758,0.0010390852216778828,0.002547398784162312,0.01109962310478502,0.004088679159801406,0.005999081937601833,0.03268819044225885
3.0,2.0,soft,300,0.65,195,47.0,0.0004518968248978649,0.0011461594930061935,0.0015039446032964277,0.0010390852216778828,0.002547398784162312,0.002135185859628019,0.004088679159801406,0.005999081937601833,0.005495120554053574
3.0,3.5,hard,300,0.27666666666666667,83,103.0,0.0009194250207349494,0.002381390782005817,0.002381390782005817,0.0013978784923568343,0.003926574611847607,0.003926574611847607,0.0019220229728148925,0.004392918509128254,0.004392918509128254
3.0,3.5,hard_amnesic,300,0.27666666666666667,83,103.0,0.0009194250207349494,0.002381390782005817,0.014609646348350026,0.0013978784923568343,0.003926574611847607,0.019519811699109983,0.0019220229728148925,0.004392918509128254,0.04806132931168976
3.0,3.5,soft,300,0.27666666666666667,83,103.0,0.0009194250207349494,0.002381390782005817,0.001735634958169548,0.0013978784923568343,0.003926574611847607,0.0022152021228038867,0.0019220229728148925,0.004392918509128254,0.002367695371199312
10.0,2.0,hard,300,0.9933333333333333,298,11.0,0.00037350592097180283,0.0013236998561644718,0.0013236998561644718,0.0009063200568231201,0.0029146331081689276,0.0029146331081689276,0.007331812235692283,0.008029615760541156,0.008029615760541156
10.0,2.0,hard_amnesic,300,0.9933333333333333,298,11.0,0.00037350592097180283,0.0013236998561644718,0.0026103441447219607,0.0009063200568231201,0.0029146331081689276,0.004809735361574273,0.007331812235692283,0.008029615760541156,0.016559185370815646
10.0,2.0,soft,300,0.9933333333333333,298,11.0,0.00037350592097180283,0.0013236998561644718,0.0022147913957202207,0.0009063200568231201,0.0029146331081689276,0.004029232925416821,0.007331812235692283,0.008029615760541156,0.009562445835459073
10.0,3.5,hard,300,0.98,294,19.0,0.000371877063496586,0.001334978939116407,0.001334978939116407,0.0008619688126568362,0.0028975344591026958,0.0028975344591026958,0.005452049342928797,0.006275790530498336,0.006275790530498336
10.0,3.5,hard_amnesic,300,0.98,294,19.0,0.000371877063496586,0.001334978939116407,0.006734029882821908,0.0008619688126568362,0.0028975344591026958,0.007667768780297335,0.005452049342928797,0.006275790530498336,0.02242889377328752
10.0,3.5,soft,300,0.98,294,19.0,0.000371877063496586,0.001334978939116407,0.0020862783045590347,0.0008619688126568362,0.0028975344591026958,0.0030254668141156365,0.005452049342928797,0.006275790530498336,0.006958958499184576
