c,switch_type,psi_star,rate,median_tau
2.0,hard,high,0.991111111111111,6.0
2.0,hard,inf,0.5988888888888889,17.0
2.0,hard,low,0.9899999999999999,6.0
2.0,hard_amnesic,high,0.991111111111111,6.0
2.0,hard_amnesic,inf,0.5988888888888889,17.0
2.0,hard_amnesic,low,0.9899999999999999,6.0
2.0,soft,high,0.991111111111111,6.0
2.0,soft,inf,0.5988888888888889,17.0
2.0,soft,low,0.9899999999999999,6.0
3.5,hard,high,0.9155555555555556,19.0
3.5,hard,inf,0.42111111111111105,73.0
3.5,hard,low,0.9322222222222223,19.0
3.5,hard_amnesic,high,0.9155555555555556,19.0
3.5,hard_amnesic,inf,0.42111111111111105,73.0
3.5,hard_amnesic,low,0.9322222222222223,19.0
3.5,soft,high,0.9155555555555556,19.0
3.5,soft,inf,0.42111111111111105,73.0
3.5,soft,low,0.9322222222222223,19.0
