score_type,round,emp_var_sus,mean_sb_sq,theo_var_sus,ratio
surp2,1,0.26147312404055584,0.2763238671249293,0.2763238671249293,0.9462560247187796
surp2,2,0.19420779451985754,0.33549557132816915,0.16774778566408458,1.1577368592439081
surp2,3,0.1349997886501339,0.37196431886157405,0.12398810628719135,1.0888124086469746
surp2,4,0.10275593793193989,0.38563973191383427,0.09640993297845857,1.0658231445394661
surp2,5,0.08515427901585697,0.39068754746620216,0.07813750949324043,1.089800270934199
surp2,6,0.06968121328108384,0.39304959299772696,0.06550826549962116,1.0637010879411364
surp2,7,0.05971218265991559,0.39368980547813426,0.05624140078259061,1.0617122231848706
surp2,8,0.05114357711138584,0.3939452610650441,0.04924315763313051,1.038592559242723
surp2,9,0.04615436843006711,0.3944635442455051,0.04382928269394501,1.053048683282314
surp2,10,0.04033818527966865,0.3947549652764474,0.03947549652764474,1.021853778366531
surp2,11,0.03547946781524201,0.39503981764523016,0.03591271069502092,0.9879362244900389
surp2,12,0.03224376998238377,0.3951915754834384,0.032932631290286535,0.9790827127710884
surp2,13,0.029514579757992,0.3953772840882824,0.030413637237560184,0.970439001670676
surp2,14,0.027940464227361017,0.39534766127488247,0.028239118662491604,0.9894240879575582
surp2,15,0.026425912273515224,0.39528744858334663,0.02635249657222311,1.0027859106666006
surp2,16,0.024774083745840825,0.39518994582293365,0.024699371613933353,1.00302485962296
surp2,17,0.023433866245942157,0.39514036428528004,0.02324355084031059,1.008187880024833
surp2,18,0.02178897107211903,0.39507596580864324,0.021948664767146846,0.9927242182282155
surp2,19,0.020828831011707818,0.3949191451570071,0.02078521816615827,1.0020982625826154
surp2,20,0.019418135789760007,0.3947303333252992,0.019736516666264962,0.9838684362651919
surp2,21,0.018540654454478053,0.39455583378088266,0.018788373037184888,0.9868153255092091
surp2,22,0.017730777980217993,0.39439506308321787,0.01792704832196445,0.9890517201593091
surp2,23,0.016963935422553186,0.3942268404667803,0.017140297411599142,0.9897106809286396
surp2,24,0.01641366192482536,0.3940386016508176,0.016418275068784068,0.9997190238353676
surp2,25,0.01583434351482623,0.3938699875404614,0.015754799501618455,1.005048874992005
surp2,26,0.015620591379875991,0.3937131232885297,0.01514281243417422,1.0315515329651395
surp2,27,0.015019760180847323,0.3935315112134601,0.014575241156054077,1.0304982277846297
surp2,28,0.01438186401508172,0.39334732044661463,0.014048118587379093,1.0237573042700867
surp2,29,0.013966789052101792,0.3931728988950603,0.013557686168795182,1.0301749781056457
surp2,30,0.013536449865672765,0.3929989831102525,0.013099966103675083,1.0333194573591478
