score_type,round,emp_var_score,theo_var,ratio
surp2,1,0.26147312404055584,0.2763238671249293,0.9462560247187796
surp2,2,0.5255911922187219,0.39466727553140907,1.3317323852377352
surp2,3,0.4518090420603848,0.4449018139283837,1.01552528651437
surp2,4,0.36900927911035897,0.42666597107061516,0.8648669079102309
surp2,5,0.4591089614966607,0.41087880967567353,1.117382913611577
surp2,6,0.41471547331626013,0.404859820655351,1.0243433706139466
surp2,7,0.42631242488899496,0.39753108036057805,1.0724002372400945
surp2,8,0.34013641341141265,0.39573345017341255,0.8595088771554769
surp2,9,0.36790244315028225,0.39860980968919346,0.9229638463668154
surp2,10,0.34837405424689694,0.3973777545549277,0.8766823262089343
surp2,11,0.34739951638068367,0.3978883413330584,0.8731080564380943
surp2,12,0.3095131545714602,0.39686091170372967,0.7799033501251502
surp2,13,0.439400190218234,0.3976057873464088,1.1051151773990966
surp2,14,0.40575781912780357,0.3949625647006837,1.027332348409528
surp2,15,0.4052581736096821,0.39444447090184537,1.02741501911058
surp2,16,0.3545864384294853,0.39372740441673937,0.9005886673160666
surp2,17,0.3751639415222098,0.39434705968282224,0.9513547326153727
surp2,18,0.4752472142124803,0.3939811917058166,1.206268786981447
surp2,19,0.43911844844576436,0.3920963734275581,1.1199247894265307
surp2,20,0.33545262273638343,0.3911429085228492,0.8576216401397124
surp2,21,0.35158413125889953,0.39106584289255103,0.8990407565600163
surp2,22,0.3427825771250258,0.391018878432257,0.8766394566404854
surp2,23,0.3816255761736514,0.3905259429051534,0.9772092817565678
surp2,24,0.35822989826178325,0.389709108883677,0.9192238264277013
surp2,25,0.33844144135584586,0.3898232488919106,0.8681920391302475
surp2,26,0.4546871687305483,0.3897915169902384,1.1664881068767208
surp2,27,0.30084296479057826,0.38880959726165026,0.7737539580025473
surp2,28,0.4053135804853648,0.38837416974178707,1.0436162135984481
surp2,29,0.33392702565917076,0.3882890954515398,0.8599958885552745
surp2,30,0.3585125766318465,0.38795542535082583,0.924107650531361
surp2,31,0.3478552433168079,0.3871189049665855,0.8985746726753975
surp2,32,0.307945237737358,0.3872934716072405,0.7951211686047974
surp2,33,0.3553072584692922,0.3871801513549393,0.9176794244898461
surp2,34,0.36820843431537553,0.38668664938195274,0.9522139823132988
surp2,35,0.3952770361340124,0.3864235627581482,1.0229113186387273
surp2,36,0.42183758964265033,0.385979970389077,1.0929002072761134
surp2,37,0.3710923512079456,0.3855002016509749,0.9626255696331024
surp2,38,0.38794291141589293,0.38519722066389817,1.007128012884575
surp2,39,0.41853986163359175,0.3846416429500198,1.0881293518392565
