score_type,round,emp_var,theo_var_mean,n,ratio_emp_over_theo
surp1,1,0.16358135358726475,0.488897214389692,50,0.33459252532553135
surp1,2,0.14376341347014676,0.37724248662269416,50,0.38109019680472606
surp1,3,0.12528367703004414,0.3452826779514185,50,0.36284379446243653
surp1,4,0.17065845096428858,0.3009995890745239,50,0.5669723719192041
surp1,5,0.13599817342926915,0.3590242777452813,50,0.37879937892600246
surp1,6,0.1327812263882728,0.36158424369741143,50,0.36722072021310087
surp1,7,0.14195952444951673,0.32337350453526864,50,0.4389955344471766
surp1,8,0.09221536969267881,0.34401403063419683,50,0.26805700198529087
surp1,9,0.09393693137285529,0.36184754094319127,50,0.25960361960177875
surp1,10,0.14371387071040292,0.34340945312358445,50,0.4184913065240633
surp1,11,0.17411998508141005,0.3521485039412022,50,0.4944504467083656
surp1,12,0.12603809528944682,0.3428883568791028,50,0.36757764666207643
surp1,13,0.10013175958398969,0.35122542441338317,50,0.2850925719606711
surp1,14,0.16715780309518366,0.34262909184315743,50,0.4878680972358942
surp1,15,0.09895381978771596,0.347819561331951,50,0.2844975693971297
surp1,16,0.17514209118599927,0.36307805239846536,50,0.48238137785807833
surp1,17,0.11477966104440072,0.369384393736796,50,0.3107322967363551
surp1,18,0.17034204985549115,0.34924681005748937,50,0.4877411760108882
surp1,19,0.12758765848927742,0.3684846012153875,50,0.3462496344988364
surp1,20,0.16804220119654512,0.386269416270221,50,0.4350388462517791
surp1,21,0.13601122165406607,0.3658901610540493,50,0.3717269173411156
surp1,22,0.12599341888000054,0.3996990264246287,50,0.31522072997533096
surp1,23,0.19629390586624393,0.39161304813243114,50,0.5012445494407111
surp1,24,0.20140249102113594,0.39092412538256804,50,0.5151958601276871
surp1,25,0.2452267497269631,0.4031038330023471,50,0.6083463605406483
surp1,26,0.22009850328637864,0.36263290313627194,50,0.606945760803368
surp1,27,0.16714232993459222,0.39261499085672513,50,0.4257156089987062
surp1,28,0.16890753728732347,0.38909660175088623,50,0.43410180538010507
surp1,29,0.2585494391756804,0.39638542857070447,50,0.6522677690448002
surp1,30,0.16975582280107512,0.39962565120192506,50,0.42478710335663605
surp2,1,0.28118961804438425,0.2763238671249293,50,1.0176088695127268
surp2,2,0.39433099401422267,0.3700545703415797,50,1.0656022803616088
surp2,3,0.4926139448656261,0.41587048860564707,50,1.184536913204129
surp2,4,0.5364479478529963,0.4225137223455232,50,1.2696580477315242
surp2,5,0.28248359377464777,0.4098889061460392,50,0.6891711132918581
surp2,6,0.6394424700662137,0.41645902315289646,50,1.5354270997064032
surp2,7,0.877019409249397,0.39449450148376564,50,2.2231473593440905
surp2,8,0.2076761508515508,0.38790433861719703,50,0.535379809341333
surp2,9,0.4596628505007092,0.38066846272367316,50,1.2075149257488609
surp2,10,0.17758140482693383,0.3811238427134582,50,0.46594147341352643
surp2,11,0.4892356355928122,0.3808593517422015,50,1.2845572344616318
surp2,12,0.34086907361346735,0.3809906457231603,50,0.8946914509317204
surp2,13,0.2554816091474485,0.3742886596692614,50,0.6825790804701477
surp2,14,0.46664493921100886,0.37362218272684733,50,1.2489754644792326
surp2,15,0.31001790213663827,0.37788787571159715,50,0.8203965304598525
surp2,16,0.2882164893860157,0.37427258482319764,50,0.7700710687163103
surp2,17,0.2153222326640346,0.3758566878136563,50,0.5728838667646322
surp2,18,0.2264330891380136,0.37702243917156836,50,0.6005825266940482
surp2,19,0.17829165903796956,0.37608765035038855,50,0.4740694326757634
surp2,20,0.33767885635892153,0.3804722124649865,50,0.8875256728242589
surp2,21,0.585891150025657,0.38758434234075023,50,1.5116481395694836
surp2,22,0.2928591065816714,0.38756839345872973,50,0.7556320678478043
surp2,23,0.3239414513574439,0.39128397248876906,50,0.8278934843587081
surp2,24,0.5923423667633584,0.38935286661437607,50,1.5213509840420096
surp2,25,0.28634052069124616,0.38631981743660637,50,0.7412007040985764
surp2,26,0.26506847364818237,0.38571111269101105,50,0.6872202146286768
surp2,27,0.2790085886704507,0.38312407215640737,50,0.7282460407670434
surp2,28,0.21035847904313046,0.38282670045112366,50,0.5494874803540183
surp2,29,0.3245028054383373,0.3853048997808577,50,0.8421974535566468
surp2,30,0.19558634576484693,0.3839006402787911,50,0.5094712674165139
sus,1,0.30531898806655877,0.4410664549883313,50,0.6922289931902352
sus,2,0.25227419052474803,0.32417845827612474,50,0.7781954170127771
sus,3,0.2140666967744818,0.3059352035935182,50,0.6997125347460903
sus,4,0.2989521542149247,0.2808597326313001,50,1.0644179976037202
sus,5,0.24167209541799303,0.31610265696920103,50,0.764536741750766
sus,6,0.23601173171809828,0.3072008310004988,50,0.7682652776343404
sus,7,0.25691492592146525,0.30641961744181057,50,0.8384415073237068
sus,8,0.11985967454857616,0.31650325239114446,50,0.37869966151390405
sus,9,0.1569344560744485,0.3227429248628528,50,0.4862521963607309
sus,10,0.2514134520767025,0.326059186321811,50,0.7710669185948489
sus,11,0.3409928127237351,0.32279329233417475,50,1.0563813462725835
sus,12,0.22319664407957068,0.317833653976111,50,0.7022435833568039
sus,13,0.15979686933519086,0.3197417699616196,50,0.49976851430569164
sus,14,0.3173157167066,0.3230015310848441,50,0.9823969429521047
sus,15,0.1565591950648949,0.3223880910122945,50,0.4856233819720233
sus,16,0.3292967134242221,0.3354390098891254,50,0.9816887831056575
sus,17,0.18475684135504503,0.33816731852835874,50,0.546347418074202
sus,18,0.3124554395522467,0.32893680434219263,50,0.9498950419278701
sus,19,0.21922811260920566,0.3477846871512913,50,0.6303558515037159
sus,20,0.3208224056733925,0.3762108288748171,50,0.8527729162738829
sus,21,0.2243604968593072,0.3451333884164993,50,0.650068942586783
