psi_star,alpha,c,switch_type,f_pers_only,f_inf_only,f_both,f_neither,mean_p_pers,mean_p_inf,mean_p_chosen
high,3.0,2.0,hard_amnesic,0.18117777777777777,0.15731111111111112,0.15422222222222223,0.5072888888888889,0.3332650084782612,0.31252440330591075,0.320676267641425
high,3.0,3.5,hard_amnesic,0.1802222222222222,0.16,0.15224444444444446,0.5075333333333334,0.3329051436469188,0.31092968330783927,0.320319601113874
low,3.0,2.0,hard_amnesic,0.17653333333333335,0.159,0.15466666666666667,0.5098,0.3326141650991593,0.3120179063781466,0.31974063596462143
low,3.0,3.5,hard_amnesic,0.17746666666666666,0.1602888888888889,0.15295555555555557,0.5092888888888889,0.3328467885753258,0.3114963851583107,0.31991808450290343
