psi_star,alpha,block,f_some
high,3.0,1-10,0.6118333333333333
high,3.0,11-50,0.5890833333333333
high,3.0,51-150,0.5740166666666666
inf,3.0,1-10,0.35450000000000004
inf,3.0,11-50,0.39929166666666666
inf,3.0,51-150,0.39815
low,3.0,1-10,0.6076666666666667
low,3.0,11-50,0.5767083333333334
low,3.0,51-150,0.5718666666666666
