listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
cred,high,3.0,2.0,hard_amnesic,0.06309859434909293,0.04613164129356544,0.009255363687322339
cred,high,3.0,3.5,hard_amnesic,0.06294260555538868,0.04496045225361984,0.009436079708545245
cred,inf,3.0,2.0,hard_amnesic,0.011219361543324261,8.571212490399862e-05,0.0008401268298642517
cred,inf,3.0,3.5,hard_amnesic,0.010529893995689025,8.962680896123325e-05,0.0009481791768752726
cred,low,3.0,2.0,hard_amnesic,0.06144315271357696,0.04651099043091139,0.010705080640373125
cred,low,3.0,3.5,hard_amnesic,0.0648564439266589,0.0456242010841767,0.009944405493024533
switch,high,3.0,2.0,hard_amnesic,0.040298200578060425,0.011245070586601898,0.017144789324093544
switch,high,3.0,3.5,hard_amnesic,0.04562594902065066,0.013223975236217189,0.018172173412078222
switch,inf,3.0,2.0,hard_amnesic,0.017850438766214585,0.0035252364774545062,0.006788890825773779
switch,inf,3.0,3.5,hard_amnesic,0.0144107375811206,0.005255876670281095,0.007254196810800642
switch,low,3.0,2.0,hard_amnesic,0.03886859052615034,0.011959991147120794,0.016814837817375264
switch,low,3.0,3.5,hard_amnesic,0.04360535732597113,0.0136562596509854,0.020354849875084353
vig,high,3.0,2.0,hard_amnesic,0.03405839255733623,0.008992298533519114,0.013923733900069781
vig,high,3.0,3.5,hard_amnesic,0.033427081123159993,0.009267032499114676,0.014064585416077538
vig,inf,3.0,2.0,hard_amnesic,0.013319037860300809,0.000991499374310176,0.0019550530588375455
vig,inf,3.0,3.5,hard_amnesic,0.014388570346832275,0.0017812359134356183,0.0035594796992946794
vig,low,3.0,2.0,hard_amnesic,0.03324918713510037,0.009932430898149807,0.01448484306687258
vig,low,3.0,3.5,hard_amnesic,0.03316565130031771,0.00833822025358677,0.014069458220361639
