c,switch_type,psi_star,rate,median_tau
2.0,hard_amnesic,high,0.9733333333333334,5.0
2.0,hard_amnesic,inf,0.7633333333333333,29.0
2.0,hard_amnesic,low,0.98,5.5
3.5,hard_amnesic,high,0.91,22.0
3.5,hard_amnesic,inf,0.4,79.0
3.5,hard_amnesic,low,0.9166666666666666,21.0
