c,switch_type,psi_star,rate,median_tau
2.0,hard,high,0.9933333333333333,6.0
2.0,hard,inf,0.65,29.0
2.0,hard,low,0.9933333333333333,6.0
2.0,soft,high,0.9955555555555554,7.0
2.0,soft,inf,0.6733333333333333,29.0
2.0,soft,low,0.9944444444444445,6.0
3.5,hard,high,0.9233333333333333,20.0
3.5,hard,inf,0.4677777777777778,73.0
3.5,hard,low,0.9133333333333334,21.0
3.5,soft,high,0.9244444444444445,20.0
3.5,soft,inf,0.47000000000000003,85.5
3.5,soft,low,0.9,20.5
