theta_star,psi_star,alpha,c,switch_type,bin,n,n_pers_only,n_inf_only,n_both,n_neither,sum_p_pers,sum_p_inf
0.1,high,10.0,3.5,hard,2,4,2,0,0,2,1.7192603956630166,0.6030804401758678
0.1,high,10.0,3.5,hard,3,14,3,4,1,6,3.9676473887438783,4.735968406494823
0.1,high,10.0,3.5,hard,4,29,4,3,6,16,8.997028056494495,8.748890861426455
0.1,high,10.0,3.5,hard,5,34,0,10,14,10,13.582685527252968,20.292061232603434
0.1,high,10.0,3.5,soft,0,0,0,0,0,0,0.0,0.0
0.1,high,10.0,3.5,soft,1,0,0,0,0,0,0.0,0.0
0.1,high,10.0,3.5,soft,2,0,0,0,0,0,0.0,0.0
0.1,high,10.0,3.5,soft,3,0,0,0,0,0,0.0,0.0
0.1,high,10.0,3.5,soft,4,0,0,0,0,0,0.0,0.0
0.1,high,10.0,3.5,soft,5,0,0,0,0,0,0.0,0.0
0.1,low,1.5,2.0,hard,0,275,45,44,40,146,81.62995082607534,81.32592739911789
0.1,low,1.5,2.0,hard,1,299,49,53,41,156,89.29401262321427,88.95027272317375
0.1,low,1.5,2.0,hard,2,369,62,64,62,181,110.03506436824786,109.7355333808591
0.1,low,1.5,2.0,hard,3,424,69,60,57,238,125.10207245474528,124.81658868238496
0.1,low,1.5,2.0,hard,4,182,35,29,20,98,54.21220807171453,53.97538570335371
0.1,low,1.5,2.0,hard,5,81,17,12,8,44,24.692668499166484,23.99591441350118
0.1,low,1.5,2.0,soft,0,314,39,55,52,168,93.73971650037468,93.44909000425857
0.1,low,1.5,2.0,soft,1,223,26,35,34,128,65.52241483167585,65.35415747449008
0.1,low,1.5,2.0,soft,2,386,60,63,57,206,115.55730273635197,115.23377232274237
0.1,low,1.5,2.0,soft,3,410,73,53,62,222,122.40344072990538,122.05745997011181
0.1,low,1.5,2.0,soft,4,214,38,39,28,109,64.20477825571612,63.99405416666474
0.1,low,1.5,2.0,soft,5,80,9,9,10,52,23.1549866658721,23.10555859028925
0.1,low,1.5,3.5,hard,0,280,33,44,40,163,84.46676779681137,84.05300916228548
0.1,low,1.5,3.5,hard,1,532,86,74,77,295,157.55482821739736,157.08330705529522
0.1,low,1.5,3.5,hard,2,923,153,150,123,497,272.7514010878116,272.00548739683376
0.1,low,1.5,3.5,hard,3,1452,224,246,188,794,428.648124296397,427.691269560025
0.1,low,1.5,3.5,hard,4,986,168,178,135,505,290.19323233861587,289.638601837435
0.1,low,1.5,3.5,hard,5,397,68,84,50,195,117.36953687934478,116.03989139771684
0.1,low,1.5,3.5,soft,0,261,43,37,38,143,78.94693597218333,78.68396884333052
0.1,low,1.5,3.5,soft,1,524,72,71,65,316,154.91177561055486,154.4511954839241
0.1,low,1.5,3.5,soft,2,1002,155,151,131,565,298.0012671254182,297.090907084219
0.1,low,1.5,3.5,soft,3,1221,217,211,157,636,362.8361223990595,361.94578458212834
0.1,low,1.5,3.5,soft,4,877,166,158,103,450,259.77706892259675,259.1780458942863
0.1,low,1.5,3.5,soft,5,350,59,63,41,187,102.8086985795552,102.64738580990814
0.1,low,3.0,2.0,hard,0,131,18,11,23,79,40.18524142111468,40.11489771028023
0.1,low,3.0,2.0,hard,1,81,6,7,11,57,23.776392921771976,23.740763113693394
0.1,low,3.0,2.0,hard,2,119,27,15,18,59,36.719546856313805,36.62429611460646
0.1,low,3.0,2.0,hard,3,110,19,10,19,62,33.33840753342785,33.19500397145865
0.1,low,3.0,2.0,hard,4,53,14,4,9,26,16.119238519030798,15.501055265563696
0.1,low,3.0,2.0,hard,5,44,6,7,6,25,15.073651958920228,14.281764054367901
0.1,low,3.0,2.0,soft,0,184,19,22,31,112,56.52622627830869,56.44457087155647
0.1,low,3.0,2.0,soft,1,92,15,16,15,46,28.004088986050437,27.952368474066414
0.1,low,3.0,2.0,soft,2,136,27,20,10,79,41.20921313906963,41.113598499694284
0.1,low,3.0,2.0,soft,3,196,25,42,28,101,58.449015280871215,58.19096446021786
0.1,low,3.0,2.0,soft,4,98,9,18,17,54,28.405832896335912,28.375732776417326
0.1,low,3.0,2.0,soft,5,60,8,7,12,33,20.065512857401817,20.023962859890073
0.1,low,3.0,3.5,hard,0,229,34,30,38,127,70.15841240477829,69.79854412048314
0.1,low,3.0,3.5,hard,1,200,37,34,26,103,60.972765283083184,60.85971114719197
0.1,low,3.0,3.5,hard,2,397,54,69,57,217,119.23606855938937,118.75617312576665
0.1,low,3.0,3.5,hard,3,470,75,72,61,262,141.69734233882122,141.400949435997
0.1,low,3.0,3.5,hard,4,265,51,39,44,131,78.03345987165747,77.66276790320384
0.1,low,3.0,3.5,hard,5,106,23,13,13,57,31.27809872643063,28.833057423474994
0.1,low,3.0,3.5,soft,0,178,27,21,44,86,54.34558770527444,54.250963500064316
0.1,low,3.0,3.5,soft,1,170,35,18,20,97,51.70832760970604,51.494926550723505
0.1,low,3.0,3.5,soft,2,342,65,55,34,188,103.21592577127961,102.98341212502774
0.1,low,3.0,3.5,soft,3,450,72,76,74,228,134.80369705141834,134.45417898160878
0.1,low,3.0,3.5,soft,4,320,57,60,37,166,95.58348921341026,95.12363704968999
0.1,low,3.0,3.5,soft,5,142,22,30,23,67,42.094609602750666,42.041694516614015
0.1,low,10.0,2.0,hard,0,124,17,19,15,73,44.33636584263752,42.727798192031976
0.1,low,10.0,2.0,hard,1,10,0,2,2,6,3.334125911076729,3.3271805054378416
0.1,low,10.0,2.0,hard,2,12,2,2,2,6,4.155612734442285,3.8843849205876473
0.1,low,10.0,2.0,hard,3,27,3,3,9,12,11.51535920982688,11.299960627508387
0.1,low,10.0,2.0,hard,4,12,1,4,1,6,4.136040710731313,3.83636214635984
0.1,low,10.0,2.0,hard,5,8,0,0,2,6,3.2736140160930853,3.2736140160930853
0.1,low,10.0,2.0,soft,0,131,13,14,31,73,44.7602101593145,44.123296909284434
0.1,low,10.0,2.0,soft,1,17,1,2,4,10,5.648114007886452,5.648113336132441
0.1,low,10.0,2.0,soft,2,10,1,2,3,4,3.240817309971135,3.198388976422856
0.1,low,10.0,2.0,soft,3,14,1,2,4,7,4.749931329036598,4.714944848363923
0.1,low,10.0,2.0,soft,4,9,0,0,1,8,2.7653679659940433,2.7469137234233685
0.1,low,10.0,2.0,soft,5,3,1,1,0,1,1.0110919988203086,0.9835671983364789
0.1,low,10.0,3.5,hard,0,131,15,12,28,76,44.63086774372661,43.82245489813327
0.1,low,10.0,3.5,hard,1,11,3,3,1,4,3.704803576969414,3.7047967682347362
0.1,low,10.0,3.5,hard,2,29,3,2,8,16,10.416412075636465,10.39864736655681
0.1,low,10.0,3.5,hard,3,42,8,4,8,22,14.072699496980668,13.535505319789195
0.1,low,10.0,3.5,hard,4,26,4,4,6,12,9.208248032533456,8.815849292250352
0.1,low,10.0,3.5,hard,5,19,1,2,5,11,7.545431383877876,7.341038145673606
0.1,low,10.0,3.5,soft,0,108,15,11,22,60,37.28646282971337,36.353084375492315
0.1,low,10.0,3.5,soft,1,10,1,1,2,6,3.3169476958389352,3.316946256166098
0.1,low,10.0,3.5,soft,2,28,1,2,4,21,9.44901703552952,9.443802499321162
0.1,low,10.0,3.5,soft,3,39,2,10,6,21,12.604966084744932,12.454527732163331
0.1,low,10.0,3.5,soft,4,27,3,1,11,12,9.09081316543422,9.037006420705394
0.1,low,10.0,3.5,soft,5,8,1,0,1,6,2.6330720336938915,2.588145791888686
0.3,high,1.5,2.0,hard,0,128,40,27,9,52,44.008459950363694,40.69163487529123
0.3,high,1.5,2.0,hard,1,121,31,22,10,58,41.7503992794143,39.13363829572256
0.3,high,1.5,2.0,hard,2,292,79,79,25,109,98.02283476612989,94.28830016817717
0.3,high,1.5,2.0,hard,3,449,123,111,29,186,152.12252356950606,143.4673369373128
0.3,high,1.5,2.0,hard,4,305,77,86,18,124,102.36042298142999,99.05427420862173
0.3,high,1.5,2.0,hard,5,128,44,34,6,44,43.601040275908105,40.02047737140517
0.3,high,1.5,2.0,soft,0,227,66,51,23,87,78.0624683979614,72.66202403587815
0.3,high,1.5,2.0,soft,1,238,70,49,24,95,80.51949346034921,77.20144037165156
0.3,high,1.5,2.0,soft,2,356,99,99,24,134,119.43705176083435,116.75723064963444
0.3,high,1.5,2.0,soft,3,548,138,148,35,227,184.13905405241516,176.07474542271365
0.3,high,1.5,2.0,soft,4,293,86,76,18,113,98.3586813262504,95.08841265580557
0.3,high,1.5,2.0,soft,5,128,34,34,4,56,42.891837690320685,40.2594494390253
0.3,high,1.5,3.5,hard,0,126,29,27,13,57,43.277648440501295,40.009581429367444
0.3,high,1.5,3.5,hard,1,469,106,106,46,211,157.75379892868875,152.7862150500369
0.3,high,1.5,3.5,hard,2,1163,300,276,91,496,389.9611697501957,377.7468957323244
0.3,high,1.5,3.5,hard,3,2113,575,539,145,854,700.3880044441953,685.5135392049023
0.3,high,1.5,3.5,hard,4,1223,286,299,98,540,403.37652753084865,399.33905518196013
0.3,high,1.5,3.5,hard,5,643,183,156,36,268,210.9423404056697,208.51866126246324
0.3,high,1.5,3.5,soft,0,167,42,50,12,63,58.17677617078219,54.739585693629095
0.3,high,1.5,3.5,soft,1,335,98,76,22,139,112.80771873960884,108.44923019465493
0.3,high,1.5,3.5,soft,2,1058,289,254,89,426,354.0740944820727,340.5372698859028
0.3,high,1.5,3.5,soft,3,1491,412,348,109,622,497.3020209520488,481.3363926066551
0.3,high,1.5,3.5,soft,4,1283,377,350,59,497,423.3965198325289,417.88854080153885
0.3,high,1.5,3.5,soft,5,647,188,183,22,254,211.82976193224985,209.8703242892467
0.3,high,3.0,2.0,hard,0,134,36,36,8,54,47.41033254108272,43.88757876397314
0.3,high,3.0,2.0,hard,1,62,18,11,5,28,21.35971426555159,19.101920848659525
0.3,high,3.0,2.0,hard,2,130,34,38,8,50,45.3079503881098,41.622765490282376
0.3,high,3.0,2.0,hard,3,93,21,27,7,38,31.424693617163033,30.736548009443492
0.3,high,3.0,2.0,hard,4,97,27,22,5,43,32.85463936917907,31.667547490073638
0.3,high,3.0,2.0,hard,5,94,38,16,11,29,39.54672823011623,26.533907647724448
0.3,high,3.0,2.0,soft,0,72,18,14,5,35,25.791690995390915,23.181110638269928
0.3,high,3.0,2.0,soft,1,96,22,31,14,29,33.03568840177549,31.58752839433906
0.3,high,3.0,2.0,soft,2,204,56,57,9,82,69.89588066764101,67.20340400467028
0.3,high,3.0,2.0,soft,3,258,57,82,15,104,85.96490355998031,84.24432772739078
0.3,high,3.0,2.0,soft,4,82,22,22,7,31,27.73033776430194,27.06644261335791
0.3,high,3.0,2.0,soft,5,75,21,13,3,38,31.40693779508103,17.937106938900822
0.3,high,3.0,3.5,hard,0,58,15,13,8,22,22.055472570467145,19.111476485534176
0.3,high,3.0,3.5,hard,1,61,22,12,3,24,21.33373680126968,19.22230371162377
0.3,high,3.0,3.5,hard,2,489,143,130,27,189,164.85800478481886,158.55160235230522
0.3,high,3.0,3.5,hard,3,1042,300,258,55,429,354.34845240457474,335.06184997081857
0.3,high,3.0,3.5,hard,4,617,151,165,37,264,208.3681647853117,196.97072014518187
0.3,high,3.0,3.5,hard,5,282,83,74,15,110,97.84156838577705,91.89402696441309
0.3,high,3.0,3.5,soft,0,131,36,35,8,52,46.3992671823478,42.32643069067894
0.3,high,3.0,3.5,soft,1,373,95,96,25,157,124.65718442493788,120.40971869021037
0.3,high,3.0,3.5,soft,2,862,225,222,56,359,288.0053453474826,281.374298018371
0.3,high,3.0,3.5,soft,3,910,276,238,62,334,309.5055905245209,291.6704731629232
0.3,high,3.0,3.5,soft,4,534,157,123,19,235,179.47773698359185,168.95049910799207
