psi_star,alpha,c,switch_type,n,rate,mean_tau,median_tau,abias_cred_at_tau,bias_cred_at_tau,abias_sw_at_tau,recovery_median,recovery_mean,recovery_frac,mean_abias_sw_post,mean_abias_cred_post,mean_abias_vig_post
high,1.5,2.0,hard,300,0.9933333333333333,25.949664429530202,17.0,0.09033551233126813,0.036238206863003296,0.07862125185112026,0.0,0.0,1.0,0.02251506660165252,0.040751638773866526,0.02251506660165252
high,1.5,2.0,soft,300,0.9933333333333333,26.459731543624162,20.0,0.08827316273978893,0.028163508950863912,0.08824620999445851,0.0,8.352941176470589,0.9697986577181208,0.026046763501533936,0.036335255511588255,0.02026286770309008
high,1.5,3.5,hard,300,0.8433333333333334,72.24901185770752,70.0,0.045417328355576214,0.018206447380569146,0.02436619611243486,0.0,0.0,1.0,0.011743963957036328,0.030419569122702408,0.011743963957036328
high,1.5,3.5,soft,300,0.8866666666666667,68.8984962406015,65.0,0.04932087486175667,0.014241732500101393,0.04962045153168808,0.0,9.012875536480687,0.8759398496240601,0.02701281548856334,0.032535546454178436,0.013211324678577763
high,3.0,2.0,hard,300,0.9866666666666667,13.246621621621621,6.0,0.14620626212374585,0.07511421222541785,0.13376281641020968,0.0,0.0,1.0,0.029379719068884577,0.06243687023510724,0.029379719068884577
high,3.0,2.0,soft,300,0.9933333333333333,13.889261744966444,7.0,0.1349524915918408,0.06914794232021243,0.13428243237653836,0.0,10.22027972027972,0.959731543624161,0.03498509007906003,0.05951604238663869,0.028057858259207945
high,3.0,3.5,hard,300,0.93,29.698924731182796,20.0,0.09888713400957834,0.052361242216761396,0.0713138532307413,0.0,0.0,1.0,0.024079013539597908,0.05903319146273912,0.024079013539597908
high,3.0,3.5,soft,300,0.8866666666666667,29.296992481203006,20.0,0.11165261116242947,0.06632021943429359,0.11156621260526486,2.0,19.067226890756302,0.8947368421052632,0.037344330383838664,0.06390446851136954,0.020877730120554373
high,10.0,2.0,hard,300,1.0,3.7133333333333334,1.0,0.1779879042307536,0.12313928524653117,0.17187840431928636,0.0,0.0,1.0,0.09547244553044254,0.11008844184134242,0.09547244553044254
high,10.0,2.0,soft,300,1.0,2.69,1.0,0.17118543605009715,0.11862209419409434,0.17270577702919643,0.0,4.440273037542662,0.9766666666666667,0.09590040448273338,0.09222894649683507,0.08446551788130974
high,10.0,3.5,hard,300,0.9966666666666667,6.0602006688963215,1.0,0.16380592572649189,0.1173363817974078,0.15886366012503073,0.0,0.0,1.0,0.09480675586576842,0.10425819402209152,0.09480675586576842
high,10.0,3.5,soft,300,1.0,3.39,1.0,0.17363331675529484,0.11617422660191853,0.17532371362050378,0.0,4.386986301369863,0.9733333333333334,0.09561818368535413,0.09442495609483817,0.08419857641129914
low,1.5,2.0,hard,300,0.99,28.205387205387204,18.0,0.08656287795365458,-0.035088975963367755,0.07714987156868783,0.0,0.0,1.0,0.0193501912862711,0.0333550313912656,0.0193501912862711
low,1.5,2.0,soft,300,0.9966666666666667,25.190635451505017,17.0,0.096563353875409,-0.037706045313024995,0.0967786877151317,0.0,9.401384083044983,0.9665551839464883,0.027349752560626685,0.03723348294349206,0.020630166619370817
low,1.5,3.5,hard,300,0.84,71.16666666666667,70.5,0.04463389495180713,-0.020687252253530512,0.027728708064745342,0.0,0.0,1.0,0.014062055329551919,0.029949764288917685,0.014062055329551919
low,1.5,3.5,soft,300,0.8133333333333334,68.51639344262296,65.0,0.05188916488016238,-0.02508100018393798,0.052224280453119123,0.0,13.553990610328638,0.8729508196721312,0.02994089486491619,0.03616814296135936,0.012004660093521581
low,3.0,2.0,hard,300,0.99,12.95959595959596,6.0,0.13451051879109757,-0.06605181799894229,0.12583451905234494,0.0,0.0,1.0,0.02893272681706411,0.062091436146394306,0.02893272681706411
low,3.0,2.0,soft,300,0.9866666666666667,15.317567567567568,6.0,0.13787526031704367,-0.06695255453421457,0.1365573000313865,0.0,9.680851063829786,0.9527027027027027,0.03540755621923199,0.060079358289733945,0.027995574660845592
low,3.0,3.5,hard,300,0.9,32.007407407407406,21.0,0.09669847985660587,-0.0570224214207243,0.06692453352941406,0.0,0.0,1.0,0.022548814738842023,0.061771879933600136,0.022548814738842023
low,3.0,3.5,soft,300,0.8866666666666667,28.048872180451127,20.5,0.10720649443958935,-0.06326204792113233,0.10716566956581029,4.0,21.456066945606693,0.8984962406015038,0.03902238567728023,0.06185443883839638,0.021718530508211594
low,10.0,2.0,hard,300,1.0,3.216666666666667,1.0,0.1722850143710772,-0.12004817565282186,0.16937157021462915,0.0,0.0,1.0,0.09454895806712857,0.11112811364423336,0.09454895806712857
low,10.0,2.0,soft,300,1.0,2.3966666666666665,1.0,0.1795809385081132,-0.11738117789228757,0.180655293866992,0.0,4.7770034843205575,0.9566666666666667,0.09786721163745618,0.09859696777103547,0.08424539060666286
low,10.0,3.5,hard,300,1.0,6.0633333333333335,1.0,0.16836830895145732,-0.11254388526082039,0.16127406117320062,0.0,0.0,1.0,0.0899045364943672,0.09902821465317407,0.0899045364943672
low,10.0,3.5,soft,300,1.0,3.296666666666667,1.0,0.17086297983427842,-0.11492347138623396,0.17275552515685558,0.0,4.625850340136054,0.98,0.10501986964489932,0.10139700667428661,0.09497376250042544
