psi_star,alpha,c,switch_type,rate,n,median_tau,mean_tau
high,1.5,2.0,hard,0.8166666666666667,300,22.0,35.66938775510204
high,1.5,2.0,hard_amnesic,0.8166666666666667,300,22.0,35.66938775510204
high,1.5,2.0,soft,0.8166666666666667,300,22.0,35.66938775510204
high,1.5,3.5,hard,0.49666666666666665,300,72.0,74.48993288590604
high,1.5,3.5,hard_amnesic,0.49666666666666665,300,72.0,74.48993288590604
high,1.5,3.5,soft,0.49666666666666665,300,72.0,74.48993288590604
high,3.0,2.0,hard,0.8133333333333334,300,1.0,17.81967213114754
high,3.0,2.0,hard_amnesic,0.8133333333333334,300,1.0,17.81967213114754
high,3.0,2.0,soft,0.8133333333333334,300,1.0,17.81967213114754
high,3.0,3.5,hard,0.5133333333333333,300,3.0,31.532467532467532
high,3.0,3.5,hard_amnesic,0.5133333333333333,300,3.0,31.532467532467532
high,3.0,3.5,soft,0.5133333333333333,300,3.0,31.532467532467532
high,10.0,2.0,hard,0.6833333333333333,300,1.0,11.214634146341464
high,10.0,2.0,hard_amnesic,0.6833333333333333,300,1.0,11.214634146341464
high,10.0,2.0,soft,0.6833333333333333,300,1.0,11.214634146341464
high,10.0,3.5,hard,0.63,300,1.0,6.4603174603174605
high,10.0,3.5,hard_amnesic,0.63,300,1.0,6.4603174603174605
high,10.0,3.5,soft,0.63,300,1.0,6.4603174603174605
inf,1.5,2.0,hard,0.12333333333333334,300,12.0,22.7027027027027
inf,1.5,2.0,hard_amnesic,0.12333333333333334,300,12.0,22.7027027027027
inf,1.5,2.0,soft,0.12333333333333334,300,12.0,22.7027027027027
inf,1.5,3.5,hard,0.0,300,,
inf,1.5,3.5,hard_amnesic,0.0,300,,
inf,1.5,3.5,soft,0.0,300,,
inf,3.0,2.0,hard,0.18333333333333332,300,1.0,16.87272727272727
inf,3.0,2.0,hard_amnesic,0.18333333333333332,300,1.0,16.87272727272727
inf,3.0,2.0,soft,0.18333333333333332,300,1.0,16.87272727272727
inf,3.0,3.5,hard,0.0033333333333333335,300,3.0,3.0
inf,3.0,3.5,hard_amnesic,0.0033333333333333335,300,3.0,3.0
inf,3.0,3.5,soft,0.0033333333333333335,300,3.0,3.0
inf,10.0,2.0,hard,0.023333333333333334,300,44.0,66.85714285714286
inf,10.0,2.0,hard_amnesic,0.023333333333333334,300,44.0,66.85714285714286
inf,10.0,2.0,soft,0.023333333333333334,300,44.0,66.85714285714286
inf,10.0,3.5,hard,0.0033333333333333335,300,71.0,71.0
inf,10.0,3.5,hard_amnesic,0.0033333333333333335,300,71.0,71.0
inf,10.0,3.5,soft,0.0033333333333333335,300,71.0,71.0
low,1.5,2.0,hard,0.7766666666666666,300,21.0,32.17596566523605
low,1.5,2.0,hard_amnesic,0.7766666666666666,300,21.0,32.17596566523605
low,1.5,2.0,soft,0.7766666666666666,300,21.0,32.17596566523605
low,1.5,3.5,hard,0.4766666666666667,300,69.0,72.79020979020979
low,1.5,3.5,hard_amnesic,0.4766666666666667,300,69.0,72.79020979020979
low,1.5,3.5,soft,0.4766666666666667,300,69.0,72.79020979020979
low,3.0,2.0,hard,0.81,300,1.0,18.234567901234566
low,3.0,2.0,hard_amnesic,0.81,300,1.0,18.234567901234566
low,3.0,2.0,soft,0.81,300,1.0,18.234567901234566
low,3.0,3.5,hard,0.5366666666666666,300,16.0,42.94409937888199
low,3.0,3.5,hard_amnesic,0.5366666666666666,300,16.0,42.94409937888199
low,3.0,3.5,soft,0.5366666666666666,300,16.0,42.94409937888199
low,10.0,2.0,hard,0.6466666666666666,300,1.0,12.345360824742269
low,10.0,2.0,hard_amnesic,0.6466666666666666,300,1.0,12.345360824742269
low,10.0,2.0,soft,0.6466666666666666,300,1.0,12.345360824742269
low,10.0,3.5,hard,0.6166666666666667,300,1.0,8.162162162162161
low,10.0,3.5,hard_amnesic,0.6166666666666667,300,1.0,8.162162162162161
low,10.0,3.5,soft,0.6166666666666667,300,1.0,8.162162162162161
