score,rule,param,FPR,TPR_avg,median_tau,alpha_spread,controls_FPR
surp2,fixed_z,3.341,0.04211111111111111,0.6460833333333333,4.0,0.04111111111111111,True
surp2,warmup t>=10,2.868,0.051333333333333335,0.6651666666666667,10.0,0.025555555555555554,True
surp2,LIL,4.912,0.04555555555555556,0.5161111111111111,2.0,0.046666666666666676,True
surp2,Robbins,0.409,0.05255555555555556,0.6687222222222222,10.0,0.057777777777777775,True
sus_1,fixed_z,200.0,0.05355555555555556,0.20708333333333334,12.0,0.3288888888888889,False
sus_1,warmup t>=10,3.601,0.05522222222222222,0.9865833333333334,10.0,0.21444444444444444,True
sus_1,LIL,200.0,0.05355555555555556,0.18941666666666668,5.0,0.3288888888888889,False
sus_1,Robbins,0.425,0.051666666666666666,0.9413611111111111,11.0,0.054444444444444434,True
